time,counts_left,counts_right,laterality,r,l
2020-03-11 12:18:35,17,6,-0.4782608695652174,1.0,1.0
2020-03-11 12:18:36,27,36,0.14285714285714285,1.0,1.0
2020-03-11 12:18:37,17,16,-0.030303030303030304,1.0,1.0
2020-03-11 12:18:38,11,15,0.15384615384615385,1.0,1.0
2020-03-11 12:18:39,11,12,0.043478260869565216,1.0,1.0
2020-03-11 12:18:40,6,4,-0.2,1.0,1.0
2020-03-11 12:18:41,6,2,-0.5,1.0,1.0
2020-03-11 12:18:42,1,2,0.3333333333333333,1.0,1.0
2020-03-11 12:18:43,2,6,0.5,1.0,1.0
2020-03-11 12:18:44,8,11,0.15789473684210525,1.0,1.0
2020-03-11 12:18:45,6,7,0.07692307692307693,1.0,1.0
2020-03-11 12:18:46,13,6,-0.3684210526315789,1.0,1.0
2020-03-11 12:18:47,5,6,0.09090909090909091,1.0,1.0
2020-03-11 12:18:48,3,4,0.14285714285714285,1.0,1.0
2020-03-11 12:18:49,4,6,0.2,1.0,1.0
2020-03-11 12:18:50,3,6,0.3333333333333333,1.0,1.0
2020-03-11 12:18:51,4,5,0.1111111111111111,1.0,1.0
2020-03-11 12:18:52,3,5,0.25,1.0,1.0
2020-03-11 12:18:53,2,8,0.6,1.0,1.0
2020-03-11 12:18:54,13,12,-0.04,1.0,1.0
2020-03-11 12:18:55,13,7,-0.3,1.0,1.0
2020-03-11 12:18:56,10,2,-0.6666666666666666,1.0,1.0
2020-03-11 12:18:57,4,1,-0.6,1.0,1.0
2020-03-11 12:18:58,6,4,-0.2,1.0,1.0
2020-03-11 12:18:59,11,6,-0.29411764705882354,1.0,1.0
2020-03-11 12:19:00,9,4,-0.38461538461538464,1.0,1.0
2020-03-11 12:19:01,11,5,-0.375,1.0,1.0
2020-03-11 12:19:02,5,3,-0.25,1.0,1.0
2020-03-11 12:19:03,3,3,0.0,1.0,1.0
2020-03-11 12:19:04,3,5,0.25,1.0,1.0
2020-03-11 12:19:05,3,8,0.45454545454545453,1.0,1.0
2020-03-11 12:19:06,2,2,0.0,1.0,1.0
2020-03-11 12:19:07,2,9,0.6363636363636364,1.0,1.0
2020-03-11 12:19:08,2,6,0.5,1.0,1.0
2020-03-11 12:19:09,1,12,0.8461538461538461,1.0,1.0
2020-03-11 12:19:10,3,5,0.25,1.0,1.0
2020-03-11 12:19:11,1,4,0.6,1.0,1.0
2020-03-11 12:19:12,0,4,1.0,1.0,0.0
2020-03-11 12:19:13,0,2,1.0,1.0,0.0
2020-03-11 12:19:14,0,3,1.0,1.0,0.0
2020-03-11 12:19:15,0,0,,0.0,0.0
2020-03-11 12:19:16,0,2,1.0,1.0,0.0
2020-03-11 12:19:17,0,5,1.0,1.0,0.0
2020-03-11 12:19:18,0,2,1.0,1.0,0.0
2020-03-11 12:19:19,0,0,,0.0,0.0
2020-03-11 12:19:20,0,2,1.0,1.0,0.0
2020-03-11 12:19:21,0,4,1.0,1.0,0.0
2020-03-11 12:19:22,0,3,1.0,1.0,0.0
2020-03-11 12:19:23,0,1,1.0,1.0,0.0
2020-03-11 12:19:24,0,1,1.0,1.0,0.0
2020-03-11 12:19:25,0,2,1.0,1.0,0.0
2020-03-11 12:19:26,0,2,1.0,1.0,0.0
2020-03-11 12:19:27,0,0,,0.0,0.0
2020-03-11 12:19:28,0,0,,0.0,0.0
2020-03-11 12:19:29,0,0,,0.0,0.0
2020-03-11 12:19:30,0,0,,0.0,0.0
2020-03-11 12:19:31,0,1,1.0,1.0,0.0
2020-03-11 12:19:32,0,1,1.0,1.0,0.0
2020-03-11 12:19:33,0,2,1.0,1.0,0.0
2020-03-11 12:19:34,0,6,1.0,1.0,0.0
2020-03-11 12:19:35,0,1,1.0,1.0,0.0
2020-03-11 12:19:36,0,0,,0.0,0.0
2020-03-11 12:19:37,0,3,1.0,1.0,0.0
2020-03-11 12:19:38,0,1,1.0,1.0,0.0
2020-03-11 12:19:39,0,0,,0.0,0.0
2020-03-11 12:19:40,0,1,1.0,1.0,0.0
2020-03-11 12:19:41,0,3,1.0,1.0,0.0
2020-03-11 12:19:42,0,4,1.0,1.0,0.0
2020-03-11 12:19:43,0,1,1.0,1.0,0.0
2020-03-11 12:19:44,0,3,1.0,1.0,0.0
2020-03-11 12:19:45,0,2,1.0,1.0,0.0
2020-03-11 12:19:46,0,3,1.0,1.0,0.0
2020-03-11 12:19:47,0,5,1.0,1.0,0.0
2020-03-11 12:19:48,0,4,1.0,1.0,0.0
2020-03-11 12:19:49,0,3,1.0,1.0,0.0
2020-03-11 12:19:50,0,4,1.0,1.0,0.0
2020-03-11 12:19:51,0,1,1.0,1.0,0.0
2020-03-11 12:19:52,0,10,1.0,1.0,0.0
2020-03-11 12:19:53,1,8,0.7777777777777778,1.0,1.0
2020-03-11 12:19:54,1,4,0.6,1.0,1.0
2020-03-11 12:19:55,1,6,0.7142857142857143,1.0,1.0
2020-03-11 12:19:56,2,7,0.5555555555555556,1.0,1.0
2020-03-11 12:19:57,10,6,-0.25,1.0,1.0
2020-03-11 12:19:58,9,7,-0.125,1.0,1.0
2020-03-11 12:19:59,7,4,-0.2727272727272727,1.0,1.0
2020-03-11 12:20:00,6,8,0.14285714285714285,1.0,1.0
2020-03-11 12:20:01,12,11,-0.043478260869565216,1.0,1.0
