,time,l,r
0,2020-03-11 12:18:36.340,0.0,
1,2020-03-11 12:18:36.840,0.0,1.0
2,2020-03-11 12:18:37.340,0.0,1.0
3,2020-03-11 12:18:37.840,0.0,1.0
4,2020-03-11 12:18:38.340,1.0,1.0
5,2020-03-11 12:18:38.840,1.0,1.0
6,2020-03-11 12:18:39.340,1.0,1.0
7,2020-03-11 12:18:39.840,1.0,1.0
8,2020-03-11 12:18:40.340,1.0,0.0
9,2020-03-11 12:18:40.840,0.0,0.0
10,2020-03-11 12:18:41.340,0.0,0.0
11,2020-03-11 12:18:41.840,0.0,0.0
12,2020-03-11 12:18:42.340,0.0,0.0
13,2020-03-11 12:18:42.840,0.0,1.0
14,2020-03-11 12:18:43.340,0.0,1.0
15,2020-03-11 12:18:43.840,0.0,0.0
16,2020-03-11 12:18:44.340,0.0,0.0
17,2020-03-11 12:18:44.840,0.0,0.0
18,2020-03-11 12:18:45.340,0.0,0.0
19,2020-03-11 12:18:45.840,0.0,0.0
20,2020-03-11 12:18:46.340,0.0,0.0
21,2020-03-11 12:18:46.840,0.0,0.0
22,2020-03-11 12:18:47.340,0.0,0.0
23,2020-03-11 12:18:47.840,0.0,0.0
24,2020-03-11 12:18:48.340,0.0,0.0
25,2020-03-11 12:18:48.840,0.0,0.0
26,2020-03-11 12:18:49.340,0.0,0.0
27,2020-03-11 12:18:49.840,0.0,0.0
28,2020-03-11 12:18:50.340,0.0,0.0
29,2020-03-11 12:18:50.840,0.0,0.0
30,2020-03-11 12:18:51.340,0.0,0.0
31,2020-03-11 12:18:51.840,0.0,0.0
32,2020-03-11 12:18:52.340,0.0,0.0
33,2020-03-11 12:18:52.840,0.0,0.0
34,2020-03-11 12:18:53.340,0.0,0.0
35,2020-03-11 12:18:53.840,0.0,0.0
36,2020-03-11 12:18:54.340,0.0,0.0
37,2020-03-11 12:18:54.840,0.0,1.0
38,2020-03-11 12:18:55.340,0.0,1.0
39,2020-03-11 12:18:55.840,0.0,0.0
40,2020-03-11 12:18:56.340,0.0,0.0
41,2020-03-11 12:18:56.840,0.0,0.0
42,2020-03-11 12:18:57.340,0.0,0.0
43,2020-03-11 12:18:57.840,1.0,0.0
44,2020-03-11 12:18:58.340,1.0,1.0
45,2020-03-11 12:18:58.840,1.0,1.0
46,2020-03-11 12:18:59.340,1.0,0.0
47,2020-03-11 12:18:59.840,1.0,1.0
48,2020-03-11 12:19:00.340,1.0,0.0
49,2020-03-11 12:19:00.840,1.0,0.0
50,2020-03-11 12:19:01.340,0.0,0.0
51,2020-03-11 12:19:01.840,0.0,0.0
52,2020-03-11 12:19:02.340,0.0,0.0
53,2020-03-11 12:19:02.840,0.0,0.0
54,2020-03-11 12:19:03.340,0.0,0.0
55,2020-03-11 12:19:03.840,0.0,0.0
56,2020-03-11 12:19:04.340,0.0,0.0
57,2020-03-11 12:19:04.840,0.0,0.0
58,2020-03-11 12:19:05.340,0.0,0.0
59,2020-03-11 12:19:05.840,0.0,0.0
60,2020-03-11 12:19:06.340,0.0,0.0
61,2020-03-11 12:19:06.840,0.0,0.0
62,2020-03-11 12:19:07.340,0.0,0.0
63,2020-03-11 12:19:07.840,0.0,1.0
64,2020-03-11 12:19:08.340,0.0,1.0
65,2020-03-11 12:19:08.840,0.0,1.0
66,2020-03-11 12:19:09.340,0.0,0.0
67,2020-03-11 12:19:09.840,0.0,0.0
68,2020-03-11 12:19:10.340,0.0,0.0
69,2020-03-11 12:19:10.840,0.0,0.0
70,2020-03-11 12:19:11.340,0.0,0.0
71,2020-03-11 12:19:11.840,0.0,0.0
72,2020-03-11 12:19:12.340,0.0,0.0
73,2020-03-11 12:19:12.840,0.0,0.0
74,2020-03-11 12:19:13.340,0.0,0.0
75,2020-03-11 12:19:13.840,0.0,0.0
76,2020-03-11 12:19:14.340,0.0,0.0
77,2020-03-11 12:19:14.840,0.0,0.0
78,2020-03-11 12:19:15.340,0.0,0.0
79,2020-03-11 12:19:15.840,0.0,0.0
80,2020-03-11 12:19:16.340,0.0,0.0
81,2020-03-11 12:19:16.840,0.0,0.0
82,2020-03-11 12:19:17.340,0.0,0.0
83,2020-03-11 12:19:17.840,0.0,0.0
84,2020-03-11 12:19:18.340,0.0,0.0
85,2020-03-11 12:19:18.840,0.0,0.0
86,2020-03-11 12:19:19.340,0.0,0.0
87,2020-03-11 12:19:19.840,0.0,0.0
88,2020-03-11 12:19:20.340,0.0,0.0
89,2020-03-11 12:19:20.840,0.0,0.0
90,2020-03-11 12:19:21.340,0.0,0.0
91,2020-03-11 12:19:21.840,0.0,0.0
92,2020-03-11 12:19:22.340,0.0,0.0
93,2020-03-11 12:19:22.840,0.0,0.0
94,2020-03-11 12:19:23.340,0.0,0.0
95,2020-03-11 12:19:23.840,0.0,0.0
96,2020-03-11 12:19:24.340,0.0,0.0
97,2020-03-11 12:19:24.840,0.0,0.0
98,2020-03-11 12:19:25.340,0.0,0.0
99,2020-03-11 12:19:25.840,0.0,0.0
100,2020-03-11 12:19:26.340,0.0,0.0
101,2020-03-11 12:19:26.840,0.0,0.0
102,2020-03-11 12:19:27.340,0.0,0.0
103,2020-03-11 12:19:27.840,0.0,0.0
104,2020-03-11 12:19:28.340,0.0,0.0
105,2020-03-11 12:19:28.840,0.0,0.0
106,2020-03-11 12:19:29.340,0.0,0.0
107,2020-03-11 12:19:29.840,0.0,0.0
108,2020-03-11 12:19:30.340,0.0,0.0
109,2020-03-11 12:19:30.840,0.0,0.0
110,2020-03-11 12:19:31.340,0.0,0.0
111,2020-03-11 12:19:31.840,0.0,0.0
112,2020-03-11 12:19:32.340,0.0,0.0
113,2020-03-11 12:19:32.840,0.0,0.0
114,2020-03-11 12:19:33.340,0.0,0.0
115,2020-03-11 12:19:33.840,0.0,0.0
116,2020-03-11 12:19:34.340,0.0,0.0
117,2020-03-11 12:19:34.840,0.0,0.0
118,2020-03-11 12:19:35.340,0.0,0.0
119,2020-03-11 12:19:35.840,0.0,0.0
120,2020-03-11 12:19:36.340,0.0,0.0
121,2020-03-11 12:19:36.840,0.0,0.0
122,2020-03-11 12:19:37.340,0.0,0.0
123,2020-03-11 12:19:37.840,0.0,0.0
124,2020-03-11 12:19:38.340,0.0,0.0
125,2020-03-11 12:19:38.840,0.0,0.0
126,2020-03-11 12:19:39.340,0.0,0.0
127,2020-03-11 12:19:39.840,0.0,0.0
128,2020-03-11 12:19:40.340,0.0,0.0
129,2020-03-11 12:19:40.840,0.0,0.0
130,2020-03-11 12:19:41.340,0.0,0.0
131,2020-03-11 12:19:41.840,0.0,0.0
132,2020-03-11 12:19:42.340,0.0,0.0
133,2020-03-11 12:19:42.840,0.0,0.0
134,2020-03-11 12:19:43.340,0.0,0.0
135,2020-03-11 12:19:43.840,0.0,0.0
136,2020-03-11 12:19:44.340,0.0,0.0
137,2020-03-11 12:19:44.840,0.0,0.0
138,2020-03-11 12:19:45.340,0.0,0.0
139,2020-03-11 12:19:45.840,0.0,0.0
140,2020-03-11 12:19:46.340,0.0,0.0
141,2020-03-11 12:19:46.840,0.0,0.0
142,2020-03-11 12:19:47.340,0.0,0.0
143,2020-03-11 12:19:47.840,0.0,0.0
144,2020-03-11 12:19:48.340,0.0,0.0
145,2020-03-11 12:19:48.840,0.0,0.0
146,2020-03-11 12:19:49.340,0.0,0.0
147,2020-03-11 12:19:49.840,0.0,0.0
148,2020-03-11 12:19:50.340,0.0,0.0
149,2020-03-11 12:19:50.840,0.0,0.0
150,2020-03-11 12:19:51.340,0.0,0.0
151,2020-03-11 12:19:51.840,0.0,0.0
152,2020-03-11 12:19:52.340,0.0,0.0
153,2020-03-11 12:19:52.840,0.0,0.0
154,2020-03-11 12:19:53.340,0.0,0.0
155,2020-03-11 12:19:53.840,0.0,0.0
156,2020-03-11 12:19:54.340,0.0,0.0
157,2020-03-11 12:19:54.840,0.0,0.0
158,2020-03-11 12:19:55.340,0.0,0.0
159,2020-03-11 12:19:55.840,0.0,0.0
160,2020-03-11 12:19:56.340,0.0,0.0
161,2020-03-11 12:19:56.840,1.0,0.0
