time,l,r
2020-03-11 16:21:21.240,1,1
2020-03-11 16:21:21.500,0,0
2020-03-11 16:21:21.740,0,1
2020-03-11 16:21:22.000,1,1
2020-03-11 16:21:22.240,0,1
2020-03-11 16:21:22.500,0,1
2020-03-11 16:21:22.740,0,1
2020-03-11 16:21:23.000,0,0
2020-03-11 16:21:23.240,0,1
2020-03-11 16:21:23.500,0,1
2020-03-11 16:21:23.740,0,0
2020-03-11 16:21:24.000,1,1
2020-03-11 16:21:24.240,0,0
2020-03-11 16:21:24.500,0,0
2020-03-11 16:21:24.740,0,0
2020-03-11 16:21:25.000,0,0
2020-03-11 16:21:25.240,0,0
2020-03-11 16:21:25.500,0,1
2020-03-11 16:21:25.740,0,1
2020-03-11 16:21:26.000,0,1
2020-03-11 16:21:26.240,0,0
2020-03-11 16:21:26.500,0,0
2020-03-11 16:21:26.740,0,0
2020-03-11 16:21:27.000,0,0
2020-03-11 16:21:27.240,0,0
2020-03-11 16:21:27.500,1,1
2020-03-11 16:21:27.740,0,1
2020-03-11 16:21:28.000,0,0
2020-03-11 16:21:28.240,0,0
2020-03-11 16:21:28.500,0,1
2020-03-11 16:21:28.740,0,0
2020-03-11 16:21:29.000,0,1
2020-03-11 16:21:29.240,0,1
2020-03-11 16:21:29.500,0,0
2020-03-11 16:21:29.740,0,1
2020-03-11 16:21:30.000,0,0
2020-03-11 16:21:30.240,0,0
2020-03-11 16:21:30.500,0,0
2020-03-11 16:21:30.740,0,1
2020-03-11 16:21:31.000,0,0
2020-03-11 16:21:31.240,0,1
2020-03-11 16:21:31.500,0,1
2020-03-11 16:21:31.740,0,0
2020-03-11 16:21:32.000,0,1
2020-03-11 16:21:32.240,0,1
2020-03-11 16:21:32.500,0,1
2020-03-11 16:21:32.740,0,1
2020-03-11 16:21:33.000,0,0
2020-03-11 16:21:33.240,0,0
2020-03-11 16:21:33.500,0,0
2020-03-11 16:21:33.740,0,0
2020-03-11 16:21:34.000,0,0
2020-03-11 16:21:34.240,1,0
2020-03-11 16:21:34.500,0,0
2020-03-11 16:21:34.740,0,0
2020-03-11 16:21:35.000,0,0
2020-03-11 16:21:35.240,0,0
2020-03-11 16:21:35.500,0,0
2020-03-11 16:21:35.740,0,1
2020-03-11 16:21:36.000,0,1
2020-03-11 16:21:36.240,1,0
2020-03-11 16:21:36.500,1,1
2020-03-11 16:21:36.740,0,1
2020-03-11 16:21:37.000,1,1
2020-03-11 16:21:37.240,1,1
2020-03-11 16:21:37.500,1,1
2020-03-11 16:21:37.740,1,1
2020-03-11 16:21:38.000,1,1
2020-03-11 16:21:38.240,1,0
2020-03-11 16:21:38.500,1,1
2020-03-11 16:21:38.740,1,1
2020-03-11 16:21:39.000,1,1
2020-03-11 16:21:39.240,1,1
2020-03-11 16:21:39.500,1,1
2020-03-11 16:21:39.740,1,1
2020-03-11 16:21:40.000,1,1
2020-03-11 16:21:40.240,1,1
2020-03-11 16:21:40.500,0,1
2020-03-11 16:21:40.740,1,1
2020-03-11 16:21:41.000,1,1
2020-03-11 16:21:41.240,1,0
2020-03-11 16:21:41.500,1,1
2020-03-11 16:21:41.740,1,1
2020-03-11 16:21:42.000,1,1
2020-03-11 16:21:42.240,1,1
2020-03-11 16:21:42.500,1,1
2020-03-11 16:21:42.740,1,1
2020-03-11 16:21:43.000,1,0
2020-03-11 16:21:43.240,1,0
