,time,l,r
0,2020-03-11 16:21:21.240,0,0
1,2020-03-11 16:21:21.500,0,0
2,2020-03-11 16:21:21.740,0,0
3,2020-03-11 16:21:22.000,0,0
4,2020-03-11 16:21:22.240,0,0
5,2020-03-11 16:21:22.500,0,1
6,2020-03-11 16:21:22.740,0,1
7,2020-03-11 16:21:23.000,0,1
8,2020-03-11 16:21:23.240,1,1
9,2020-03-11 16:21:23.500,0,0
10,2020-03-11 16:21:23.740,0,0
11,2020-03-11 16:21:24.000,0,0
12,2020-03-11 16:21:24.240,0,0
13,2020-03-11 16:21:24.500,0,0
14,2020-03-11 16:21:24.740,0,0
15,2020-03-11 16:21:25.000,0,0
16,2020-03-11 16:21:25.240,0,0
17,2020-03-11 16:21:25.500,0,0
18,2020-03-11 16:21:25.740,0,1
19,2020-03-11 16:21:26.000,0,0
20,2020-03-11 16:21:26.240,0,1
21,2020-03-11 16:21:26.500,0,1
22,2020-03-11 16:21:26.740,0,0
23,2020-03-11 16:21:27.000,0,1
24,2020-03-11 16:21:27.240,0,1
25,2020-03-11 16:21:27.500,0,0
26,2020-03-11 16:21:27.740,0,0
27,2020-03-11 16:21:28.000,0,1
28,2020-03-11 16:21:28.240,0,1
29,2020-03-11 16:21:28.500,0,1
30,2020-03-11 16:21:28.740,0,1
31,2020-03-11 16:21:29.000,0,0
32,2020-03-11 16:21:29.240,0,0
33,2020-03-11 16:21:29.500,0,1
34,2020-03-11 16:21:29.740,0,1
35,2020-03-11 16:21:30.000,0,1
36,2020-03-11 16:21:30.240,0,0
37,2020-03-11 16:21:30.500,0,1
38,2020-03-11 16:21:30.740,0,1
39,2020-03-11 16:21:31.000,0,0
40,2020-03-11 16:21:31.240,0,0
41,2020-03-11 16:21:31.500,0,0
42,2020-03-11 16:21:31.740,0,1
43,2020-03-11 16:21:32.000,0,1
44,2020-03-11 16:21:32.240,0,1
45,2020-03-11 16:21:32.500,0,1
46,2020-03-11 16:21:32.740,0,0
47,2020-03-11 16:21:33.000,0,1
48,2020-03-11 16:21:33.240,0,1
49,2020-03-11 16:21:33.500,0,0
50,2020-03-11 16:21:33.740,0,0
51,2020-03-11 16:21:34.000,0,0
52,2020-03-11 16:21:34.240,0,0
53,2020-03-11 16:21:34.500,1,0
54,2020-03-11 16:21:34.740,0,0
55,2020-03-11 16:21:35.000,1,0
56,2020-03-11 16:21:35.240,0,0
57,2020-03-11 16:21:35.500,0,0
58,2020-03-11 16:21:35.740,1,1
59,2020-03-11 16:21:36.000,0,0
60,2020-03-11 16:21:36.240,1,0
61,2020-03-11 16:21:36.500,1,1
62,2020-03-11 16:21:36.740,0,1
