time,l,r,iteration
2020-03-11 16:24:45.740,0,1,0
2020-03-11 16:26:20.740,0,1,0
2020-03-11 16:26:06.240,0,1,0
2020-03-11 16:23:16.240,1,1,0
2020-03-11 16:26:27.740,1,1,0
2020-03-11 17:05:30.740,0,0,0
2020-03-11 16:24:17.500,1,1,0
2020-03-11 16:23:57.000,1,1,0
2020-03-11 16:23:50.240,0,0,0
2020-03-11 16:22:30.000,0,1,0
2020-03-11 16:25:46.240,1,1,0
2020-03-11 16:26:16.740,0,0,0
2020-03-11 16:25:22.240,1,1,0
2020-03-11 16:23:15.000,0,1,0
2020-03-11 17:05:52.500,0,0,0
2020-03-11 16:24:22.500,1,1,0
2020-03-11 16:26:12.500,0,1,0
2020-03-11 16:23:27.740,1,1,0
2020-03-11 16:26:19.240,0,0,0
2020-03-11 16:24:15.740,1,1,0
2020-03-11 16:25:11.500,1,1,0
2020-03-11 16:21:43.000,1,0,0
2020-03-11 16:26:42.240,0,0,0
2020-03-11 16:22:00.000,1,1,0
2020-03-11 16:26:39.240,0,0,0
2020-03-11 16:22:25.740,0,1,0
2020-03-11 16:26:59.500,1,0,0
2020-03-11 16:25:00.240,1,1,0
2020-03-11 16:25:00.500,1,1,0
2020-03-11 16:23:49.000,1,1,0
2020-03-11 16:26:53.740,0,1,0
2020-03-11 16:27:02.240,1,1,0
2020-03-11 16:24:55.500,1,1,0
2020-03-11 16:21:28.500,0,1,0
2020-03-11 16:24:45.240,1,1,0
2020-03-11 16:26:53.240,1,1,0
2020-03-11 17:05:44.740,0,0,0
2020-03-11 16:25:35.500,0,0,0
2020-03-11 16:25:52.740,1,1,0
2020-03-11 16:23:00.240,0,1,0
2020-03-11 16:25:44.500,1,1,0
2020-03-11 16:21:22.740,0,1,0
2020-03-11 16:26:37.740,0,0,0
2020-03-11 16:24:43.240,0,1,0
2020-03-11 17:05:43.240,0,0,0
2020-03-11 16:21:28.740,0,1,0
2020-03-11 16:25:24.500,1,1,0
2020-03-11 17:05:45.740,0,0,0
2020-03-11 16:22:47.500,1,1,0
2020-03-11 16:24:36.740,0,1,0
2020-03-11 16:25:43.500,1,1,0
2020-03-11 16:25:02.000,1,1,0
2020-03-11 16:21:45.740,1,1,0
2020-03-11 16:21:41.500,1,1,0
