time,l,r,iteration
2020-03-11 16:22:00.740,1,1,0
2020-03-11 16:24:55.740,1,1,0
2020-03-11 16:26:06.500,0,1,0
2020-03-11 16:23:28.000,1,1,0
2020-03-11 16:21:39.500,1,1,0
2020-03-11 16:24:53.240,1,1,0
2020-03-11 16:22:17.500,1,1,0
2020-03-11 16:25:07.740,1,1,0
2020-03-11 16:22:55.740,1,1,0
2020-03-11 16:27:04.240,1,1,0
2020-03-11 16:24:29.500,1,1,0
2020-03-11 16:22:51.000,1,1,0
2020-03-11 16:25:22.240,1,1,0
2020-03-11 16:26:53.000,0,1,0
2020-03-11 16:24:48.740,1,1,0
2020-03-11 16:23:47.740,1,1,0
2020-03-11 16:23:47.240,1,1,0
2020-03-11 17:05:34.240,0,0,0
2020-03-11 16:21:39.740,1,1,0
2020-03-11 16:26:05.740,0,1,0
2020-03-11 16:26:25.500,1,1,0
2020-03-11 16:26:47.500,0,1,0
2020-03-11 16:26:30.000,0,1,0
2020-03-11 16:24:01.000,1,1,0
2020-03-11 16:23:05.000,0,1,0
2020-03-11 16:21:51.240,1,1,0
2020-03-11 17:05:56.740,0,0,0
2020-03-11 16:23:15.240,1,1,0
2020-03-11 16:25:26.000,0,1,0
2020-03-11 16:24:04.500,1,1,0
2020-03-11 16:22:37.240,1,1,0
2020-03-11 16:23:33.740,1,1,0
2020-03-11 16:26:33.740,0,1,0
2020-03-11 16:26:29.740,0,1,0
2020-03-11 16:21:47.740,1,1,0
2020-03-11 16:27:00.240,0,1,0
2020-03-11 17:05:53.500,0,0,0
2020-03-11 16:25:50.000,1,1,0
2020-03-11 16:21:34.500,0,1,0
2020-03-11 16:25:50.740,1,1,0
2020-03-11 16:21:55.740,1,1,0
2020-03-11 16:26:11.000,0,1,0
2020-03-11 16:21:38.740,1,0,0
2020-03-11 16:23:26.000,1,0,0
2020-03-11 16:25:23.500,1,1,0
2020-03-11 16:22:32.740,0,1,0
2020-03-11 16:21:56.240,1,1,0
2020-03-11 16:24:33.740,0,1,0
2020-03-11 16:22:42.240,1,1,0
2020-03-11 16:21:26.240,0,1,0
2020-03-11 16:22:14.740,0,1,0
2020-03-11 16:24:17.000,1,1,0
2020-03-11 16:23:24.000,0,1,0
2020-03-11 16:23:18.500,0,1,0
2020-03-11 17:05:16.000,0,0,0
2020-03-11 17:05:44.240,0,0,0
2020-03-11 16:23:16.240,1,1,0
2020-03-11 16:24:45.500,1,1,0
2020-03-11 16:26:27.740,1,1,0
2020-03-11 16:26:42.000,0,0,0
2020-03-11 16:26:37.500,1,1,0
2020-03-11 16:22:26.240,0,1,0
2020-03-11 16:21:38.000,1,1,0
2020-03-11 12:21:42.240,0,1,0
2020-03-11 12:24:01.000,1,1,0
2020-03-11 12:21:53.000,1,1,0
2020-03-11 12:26:00.500,0,0,0
2020-03-11 12:23:48.240,1,1,0
2020-03-11 12:26:01.240,0,0,0
2020-03-11 12:21:28.000,1,1,0
2020-03-11 12:22:53.500,0,0,0
2020-03-11 12:18:55.240,0,0,0
2020-03-11 12:21:18.500,1,1,0
2020-03-11 12:18:41.500,0,1,0
2020-03-11 12:23:14.000,1,1,0
2020-03-11 12:24:43.240,1,1,0
2020-03-11 12:20:28.740,1,1,0
2020-03-11 12:24:24.740,1,1,0
2020-03-11 12:25:45.740,0,1,0
2020-03-11 12:18:38.000,1,0,0
2020-03-11 12:25:33.740,0,1,0
2020-03-11 12:25:43.000,0,1,0
2020-03-11 12:21:18.240,1,1,0
2020-03-11 12:24:15.000,1,1,0
2020-03-11 12:21:24.500,1,1,0
2020-03-11 12:22:25.740,1,1,0
2020-03-11 12:22:51.500,1,0,0
2020-03-11 12:19:46.740,1,1,0
2020-03-11 12:20:03.500,1,1,0
2020-03-11 12:25:38.500,0,1,0
2020-03-11 12:20:13.000,1,1,0
2020-03-18 17:58:53.500,0,0,0
2020-03-11 12:25:50.000,1,1,0
2020-03-11 12:26:07.000,0,0,0
2020-03-11 12:20:02.500,1,1,0
2020-03-11 12:20:00.000,1,1,0
2020-03-11 12:22:26.500,1,1,0
2020-03-11 12:19:52.240,1,1,0
2020-03-11 12:23:34.740,1,1,0
2020-03-11 12:21:34.740,0,1,0
2020-03-11 12:24:40.740,1,1,0
2020-03-11 12:22:36.240,1,1,0
2020-03-11 12:19:03.240,1,1,0
2020-03-11 12:23:04.500,1,1,0
2020-03-11 12:23:30.500,1,1,0
2020-03-11 12:22:57.740,1,1,0
2020-03-11 12:20:50.240,1,1,0
2020-03-11 12:25:31.740,1,1,0
2020-03-11 12:18:59.500,1,1,0
2020-03-11 12:21:49.240,1,0,0
2020-03-11 12:19:23.000,1,1,0
2020-03-11 12:22:41.740,1,1,0
2020-03-11 12:19:40.000,1,1,0
2020-03-11 12:20:12.500,1,1,0
2020-03-11 12:23:50.000,1,1,0
2020-03-11 12:25:25.740,0,0,0
2020-03-11 12:23:27.740,1,1,0
2020-03-18 17:59:01.740,0,0,0
2020-03-11 12:23:48.000,1,1,0
2020-03-11 12:25:39.500,1,1,0
2020-03-11 12:18:48.000,0,1,0
2020-03-11 12:22:28.740,1,1,0
2020-03-11 12:20:28.500,1,1,0
2020-03-11 12:20:41.500,1,1,0
2020-03-11 12:21:39.000,0,1,0
2020-03-11 12:25:59.500,0,0,0
2020-03-11 12:19:41.500,1,1,0
2020-03-11 12:19:25.240,1,1,0
2020-03-11 12:24:58.740,1,1,0
2020-03-11 12:18:53.740,1,1,0
2020-03-11 12:20:27.000,1,1,0
2020-03-11 12:29:03.500,1,1,0
2020-03-11 12:30:15.740,0,1,0
2020-03-11 12:33:33.500,1,1,0
2020-03-11 12:31:57.000,1,1,0
2020-03-11 16:51:12.740,0,0,0
2020-03-11 12:32:33.240,1,1,0
2020-03-11 12:34:45.500,0,1,0
2020-03-11 16:51:15.740,0,0,0
2020-03-11 12:32:06.000,1,1,0
2020-03-11 12:33:40.240,1,1,0
