time,r,iteration
2020-03-11 16:25:15.500,1,0
2020-03-11 16:24:35.000,1,0
2020-03-11 16:24:36.240,1,0
2020-03-11 16:22:53.000,1,0
2020-03-11 16:26:01.500,1,0
2020-03-11 16:23:30.740,1,0
2020-03-11 16:25:42.500,1,0
2020-03-11 16:21:50.240,1,0
2020-03-11 16:25:51.000,1,0
2020-03-11 16:21:52.240,1,0
2020-03-11 16:22:23.000,1,0
2020-03-11 16:24:37.240,1,0
2020-03-11 16:26:08.500,1,0
2020-03-11 16:26:28.240,1,0
2020-03-11 16:25:17.240,1,0
2020-03-11 17:05:16.000,1,0
2020-03-11 16:23:11.000,1,0
2020-03-11 16:21:56.500,1,0
2020-03-11 16:23:58.740,1,0
2020-03-11 16:25:56.240,1,0
2020-03-11 16:22:06.240,1,0
2020-03-11 16:24:59.240,1,0
2020-03-11 16:23:35.000,1,0
2020-03-11 16:24:26.500,1,0
2020-03-11 16:26:07.500,1,0
2020-03-11 16:24:57.000,1,0
2020-03-11 16:22:02.500,1,0
2020-03-11 16:24:30.500,1,0
2020-03-11 16:26:02.000,1,0
2020-03-11 17:05:37.740,1,0
2020-03-11 16:25:01.740,1,0
2020-03-11 16:25:05.000,1,0
2020-03-11 17:05:26.000,1,0
2020-03-11 16:25:02.740,1,0
2020-03-11 16:23:11.540,1,0
2020-03-11 16:24:56.000,1,0
2020-03-11 16:25:07.000,1,0
2020-03-11 17:05:45.660,1,0
2020-03-11 17:05:22.240,1,0
2020-03-11 17:05:30.740,1,0
2020-03-11 16:24:23.740,1,0
2020-03-11 16:23:59.000,1,0
2020-03-11 16:24:51.000,1,0
2020-03-11 16:21:57.000,1,0
2020-03-11 17:05:50.500,1,0
2020-03-11 16:24:33.500,1,0
2020-03-11 16:26:08.000,1,0
2020-03-11 16:25:59.500,1,0
2020-03-11 16:24:50.740,1,0
2020-03-11 16:22:04.000,1,0
2020-03-11 17:05:21.000,1,0
2020-03-11 16:23:36.740,1,0
2020-03-11 16:26:10.000,1,0
2020-03-11 16:21:48.740,1,0
2020-03-11 16:22:52.500,1,0
2020-03-11 17:05:22.500,1,0
2020-03-11 16:25:50.500,1,0
2020-03-11 16:22:42.740,1,0
2020-03-11 16:25:03.740,1,0
2020-03-11 17:05:50.240,1,0
2020-03-11 16:24:25.740,1,0
2020-03-11 17:05:52.500,1,0
2020-03-11 16:26:33.000,1,0
2020-03-11 16:26:24.740,1,0
2020-03-11 16:23:18.000,1,0
2020-03-11 16:23:09.740,1,0
2020-03-11 16:26:12.000,1,0
2020-03-11 16:23:44.000,1,0
2020-03-11 17:05:32.740,1,0
2020-03-11 16:25:44.240,1,0
2020-03-11 16:26:15.000,1,0
2020-03-11 16:25:54.000,1,0
2020-03-11 16:23:02.000,1,0
2020-03-11 16:24:03.740,1,0
2020-03-11 17:05:50.000,1,0
2020-03-11 17:05:25.500,1,0
2020-03-11 17:05:51.000,1,0
2020-03-11 16:23:27.500,1,0
2020-03-11 16:23:35.500,1,0
2020-03-11 16:24:02.000,1,0
2020-03-11 16:25:42.000,1,0
2020-03-11 16:22:40.500,1,0
2020-03-11 16:23:24.500,1,0
2020-03-11 16:23:24.240,1,0
2020-03-11 16:23:07.240,1,0
2020-03-11 16:21:49.740,1,0
2020-03-11 16:25:03.240,1,0
2020-03-11 16:23:53.000,1,0
2020-03-11 16:21:51.000,1,0
2020-03-11 16:24:34.240,1,0
2020-03-11 16:22:01.500,1,0
2020-03-11 16:23:57.240,1,0
2020-03-11 17:05:33.500,1,0
2020-03-11 16:21:56.240,1,0
2020-03-11 16:24:03.500,1,0
2020-03-11 16:26:15.240,1,0
2020-03-11 16:22:09.740,1,0
2020-03-11 16:22:13.240,1,0
2020-03-11 16:25:09.500,1,0
2020-03-11 16:23:55.500,1,0
2020-03-11 17:05:42.980,1,0
2020-03-11 17:05:16.240,1,0
2020-03-11 17:05:25.740,1,0
2020-03-11 16:23:27.740,1,0
2020-03-11 16:24:00.000,1,0
2020-03-11 16:25:03.000,1,0
2020-03-11 16:22:23.740,1,0
2020-03-11 16:21:48.000,1,0
2020-03-11 16:22:41.740,1,0
2020-03-11 16:24:22.240,1,0
2020-03-11 16:24:21.740,1,0
2020-03-11 16:22:51.500,1,0
2020-03-11 16:26:23.500,1,0
2020-03-11 16:23:43.500,1,0
