time,l,r,iteration
2020-03-11 16:22:49.240,1,1,0
2020-03-11 16:24:45.240,1,0,0
2020-03-11 16:23:49.500,1,1,0
2020-03-11 17:05:26.240,0,0,0
2020-03-11 16:27:05.000,0,1,0
2020-03-11 16:23:01.000,0,1,0
2020-03-11 16:26:02.500,1,1,0
2020-03-11 16:23:38.240,0,1,0
2020-03-11 16:21:36.000,1,0,0
2020-03-11 17:05:30.240,0,0,0
2020-03-11 16:24:44.000,0,1,0
2020-03-11 16:25:11.000,1,1,0
2020-03-11 16:22:06.740,1,1,0
2020-03-11 16:21:47.240,1,1,0
2020-03-11 17:05:45.500,0,0,0
2020-03-11 16:21:28.240,0,0,0
2020-03-11 16:26:38.240,1,1,0
2020-03-11 16:22:42.000,1,1,0
2020-03-11 16:24:26.240,0,1,0
2020-03-11 16:23:43.240,0,1,0
2020-03-11 16:24:42.500,1,1,0
2020-03-11 16:23:37.740,0,1,0
2020-03-11 16:26:26.240,1,1,0
2020-03-11 16:26:36.500,1,1,0
2020-03-11 16:25:41.000,1,1,0
2020-03-11 16:21:23.240,1,0,0
2020-03-11 16:26:46.000,0,1,0
2020-03-11 16:27:06.500,0,1,0
2020-03-11 16:21:59.500,1,1,0
2020-03-11 16:25:03.000,1,1,0
2020-03-11 16:22:17.500,1,1,0
2020-03-11 16:21:56.740,1,1,0
2020-03-11 17:05:31.000,0,0,0
2020-03-11 17:05:53.240,0,0,0
2020-03-11 16:23:20.000,0,1,0
2020-03-11 17:05:36.740,0,0,0
2020-03-11 16:25:43.500,1,1,0
2020-03-11 17:05:48.240,0,0,0
2020-03-11 16:24:56.000,1,1,0
2020-03-11 16:24:16.500,1,1,0
2020-03-11 16:25:18.000,1,1,0
2020-03-11 16:21:49.740,1,1,0
2020-03-11 16:25:33.240,0,0,0
2020-03-11 16:26:43.240,0,0,0
2020-03-11 16:23:19.240,0,1,0
2020-03-11 16:24:25.000,0,1,0
2020-03-11 16:25:58.500,1,1,0
2020-03-11 16:22:57.500,0,1,0
2020-03-11 17:05:38.000,0,0,0
2020-03-11 16:26:27.000,1,1,0
2020-03-11 16:27:01.500,0,1,0
2020-03-11 16:26:43.500,0,0,0
2020-03-11 16:22:14.500,1,1,0
2020-03-11 16:22:25.500,0,1,0
2020-03-11 16:24:12.500,1,1,0
2020-03-11 12:25:21.500,0,0,0
2020-03-11 12:20:22.240,0,1,0
2020-03-11 12:19:38.740,1,0,0
2020-03-11 12:22:58.000,1,1,0
2020-03-11 12:23:00.000,1,1,0
