time,counts_left,counts_right,r,l
2020-03-11 12:18:34,0.0,0.0,0.0,0.0
2020-03-11 12:18:35,0.0,0.0,0.0,0.0
2020-03-11 12:18:36,0.0,0.0,0.0,0.0
2020-03-11 12:18:37,0.0,0.0,0.0,0.0
2020-03-11 12:18:38,160.0,95.0,1.0,1.0
2020-03-11 12:18:39,149.0,104.0,1.0,1.0
2020-03-11 12:18:40,110.0,96.0,1.0,1.0
2020-03-11 12:18:41,73.0,79.0,1.0,1.0
2020-03-11 12:18:42,46.0,46.0,1.0,1.0
2020-03-11 12:18:43,28.0,42.0,1.0,1.0
2020-03-11 12:18:44,34.0,64.0,1.0,1.0
2020-03-11 12:18:45,30.0,64.0,1.0,1.0
2020-03-11 12:18:46,33.0,86.0,1.0,1.0
2020-03-11 12:18:47,34.0,104.0,1.0,1.0
2020-03-11 12:18:48,24.0,89.0,1.0,1.0
2020-03-11 12:18:49,14.0,68.0,1.0,1.0
2020-03-11 12:18:50,16.0,72.0,1.0,1.0
2020-03-11 12:18:51,21.0,60.0,1.0,1.0
2020-03-11 12:18:52,25.0,41.0,1.0,1.0
2020-03-11 12:18:53,48.0,57.0,1.0,1.0
2020-03-11 12:18:54,87.0,81.0,1.0,1.0
2020-03-11 12:18:55,113.0,77.0,1.0,1.0
2020-03-11 12:18:56,119.0,82.0,1.0,1.0
2020-03-11 12:18:57,117.0,84.0,1.0,1.0
2020-03-11 12:18:58,102.0,64.0,1.0,1.0
2020-03-11 12:18:59,67.0,32.0,1.0,1.0
2020-03-11 12:19:00,45.0,28.0,1.0,1.0
2020-03-11 12:19:01,40.0,18.0,1.0,1.0
2020-03-11 12:19:02,39.0,17.0,1.0,1.0
2020-03-11 12:19:03,32.0,13.0,1.0,1.0
2020-03-11 12:19:04,25.0,32.0,1.0,1.0
2020-03-11 12:19:05,13.0,56.0,1.0,1.0
2020-03-11 12:19:06,4.0,71.0,1.0,1.0
2020-03-11 12:19:07,1.0,72.0,1.0,1.0
2020-03-11 12:19:08,0.0,81.0,1.0,0.0
2020-03-11 12:19:09,0.0,78.0,1.0,0.0
2020-03-11 12:19:10,0.0,50.0,1.0,0.0
2020-03-11 12:19:11,0.0,35.0,1.0,0.0
2020-03-11 12:19:12,0.0,33.0,1.0,0.0
2020-03-11 12:19:13,0.0,22.0,1.0,0.0
2020-03-11 12:19:14,0.0,6.0,1.0,0.0
2020-03-11 12:19:15,0.0,4.0,1.0,0.0
2020-03-11 12:19:16,0.0,1.0,1.0,0.0
2020-03-11 12:19:17,0.0,0.0,0.0,0.0
2020-03-11 12:19:18,0.0,0.0,0.0,0.0
2020-03-11 12:19:19,0.0,0.0,0.0,0.0
2020-03-11 12:19:20,0.0,1.0,1.0,0.0
2020-03-11 12:19:21,0.0,4.0,1.0,0.0
2020-03-11 12:19:22,0.0,5.0,1.0,0.0
2020-03-11 12:19:23,0.0,5.0,1.0,0.0
2020-03-11 12:19:24,0.0,5.0,1.0,0.0
2020-03-11 12:19:25,0.0,5.0,1.0,0.0
2020-03-11 12:19:26,0.0,2.0,1.0,0.0
2020-03-11 12:19:27,0.0,1.0,1.0,0.0
2020-03-11 12:19:28,0.0,1.0,1.0,0.0
2020-03-11 12:19:29,0.0,0.0,0.0,0.0
2020-03-11 12:19:30,0.0,0.0,0.0,0.0
2020-03-11 12:19:31,0.0,0.0,0.0,0.0
2020-03-11 12:19:32,0.0,0.0,0.0,0.0
2020-03-11 12:19:33,0.0,0.0,0.0,0.0
2020-03-11 12:19:34,0.0,0.0,0.0,0.0
2020-03-11 12:19:35,0.0,0.0,0.0,0.0
2020-03-11 12:19:36,0.0,1.0,1.0,0.0
2020-03-11 12:19:37,0.0,1.0,1.0,0.0
2020-03-11 12:19:38,0.0,1.0,1.0,0.0
2020-03-11 12:19:39,0.0,1.0,1.0,0.0
2020-03-11 12:19:40,0.0,2.0,1.0,0.0
2020-03-11 12:19:41,0.0,6.0,1.0,0.0
2020-03-11 12:19:42,0.0,13.0,1.0,0.0
2020-03-11 12:19:43,0.0,13.0,1.0,0.0
2020-03-11 12:19:44,0.0,13.0,1.0,0.0
2020-03-11 12:19:45,0.0,15.0,1.0,0.0
2020-03-11 12:19:46,0.0,20.0,1.0,0.0
2020-03-11 12:19:47,0.0,23.0,1.0,0.0
2020-03-11 12:19:48,0.0,28.0,1.0,0.0
2020-03-11 12:19:49,0.0,29.0,1.0,0.0
2020-03-11 12:19:50,0.0,25.0,1.0,0.0
2020-03-11 12:19:51,0.0,20.0,1.0,0.0
2020-03-11 12:19:52,0.0,23.0,1.0,0.0
2020-03-11 12:19:53,0.0,33.0,1.0,0.0
2020-03-11 12:19:54,0.0,47.0,1.0,0.0
2020-03-11 12:19:55,0.0,51.0,1.0,0.0
2020-03-11 12:19:56,3.0,53.0,1.0,1.0
2020-03-11 12:19:57,7.0,43.0,1.0,1.0
2020-03-11 12:19:58,11.0,50.0,1.0,1.0
2020-03-11 12:19:59,19.0,63.0,1.0,1.0
2020-03-11 12:20:00,43.0,71.0,1.0,1.0
2020-03-11 12:20:01,62.0,85.0,1.0,1.0
