time,counts_left,counts_right,laterality,r,l
2019-11-15 16:31:16,31,33,0.03125,1.0,1.0
2019-11-15 16:31:17,33,36,0.043478260869565216,1.0,1.0
2019-11-15 16:31:18,18,19,0.02702702702702703,1.0,1.0
2019-11-15 16:31:19,12,14,0.07692307692307693,1.0,1.0
2019-11-15 16:31:20,10,7,-0.17647058823529413,1.0,1.0
2019-11-15 16:31:21,7,16,0.391304347826087,1.0,1.0
2019-11-15 16:31:22,3,7,0.4,1.0,1.0
2019-11-15 16:31:23,2,2,0.0,1.0,1.0
2019-11-15 16:31:24,0,1,1.0,1.0,0.0
2019-11-15 16:31:25,1,6,0.7142857142857143,1.0,1.0
2019-11-15 16:31:26,1,7,0.75,1.0,1.0
2019-11-15 16:31:27,0,6,1.0,1.0,0.0
2019-11-15 16:31:28,0,8,1.0,1.0,0.0
2019-11-15 16:31:29,0,5,1.0,1.0,0.0
2019-11-15 16:31:30,1,4,0.6,1.0,1.0
2019-11-15 16:31:31,1,6,0.7142857142857143,1.0,1.0
2019-11-15 16:31:32,0,5,1.0,1.0,0.0
2019-11-15 16:31:33,1,7,0.75,1.0,1.0
2019-11-15 16:31:34,3,5,0.25,1.0,1.0
2019-11-15 16:31:35,7,1,-0.75,1.0,1.0
2019-11-15 16:31:36,10,0,-1.0,0.0,1.0
2019-11-15 16:31:37,7,0,-1.0,0.0,1.0
2019-11-15 16:31:38,4,0,-1.0,0.0,1.0
2019-11-15 16:31:39,6,1,-0.7142857142857143,1.0,1.0
2019-11-15 16:31:40,7,4,-0.2727272727272727,1.0,1.0
2019-11-15 16:31:41,8,5,-0.23076923076923078,1.0,1.0
2019-11-15 16:31:42,5,2,-0.42857142857142855,1.0,1.0
2019-11-15 16:31:43,2,1,-0.3333333333333333,1.0,1.0
2019-11-15 16:31:44,1,3,0.5,1.0,1.0
2019-11-15 16:31:45,3,5,0.25,1.0,1.0
2019-11-15 16:31:46,2,3,0.2,1.0,1.0
2019-11-15 16:31:47,2,6,0.5,1.0,1.0
2019-11-15 16:31:48,5,9,0.2857142857142857,1.0,1.0
2019-11-15 16:31:49,11,4,-0.4666666666666667,1.0,1.0
2019-11-15 16:31:50,5,5,0.0,1.0,1.0
2019-11-15 16:31:51,1,2,0.3333333333333333,1.0,1.0
2019-11-15 16:31:52,1,2,0.3333333333333333,1.0,1.0
2019-11-15 16:31:53,1,3,0.5,1.0,1.0
2019-11-15 16:31:54,1,4,0.6,1.0,1.0
2019-11-15 16:31:55,1,11,0.8333333333333334,1.0,1.0
2019-11-15 16:31:56,1,9,0.8,1.0,1.0
2019-11-15 16:31:57,4,4,0.0,1.0,1.0
2019-11-15 16:31:58,7,7,0.0,1.0,1.0
2019-11-15 16:31:59,5,3,-0.25,1.0,1.0
2019-11-15 16:32:00,2,5,0.42857142857142855,1.0,1.0
2019-11-15 16:32:01,2,6,0.5,1.0,1.0
2019-11-15 16:32:02,1,3,0.5,1.0,1.0
2019-11-15 16:32:03,2,6,0.5,1.0,1.0
2019-11-15 16:32:04,0,4,1.0,1.0,0.0
2019-11-15 16:32:05,1,8,0.7777777777777778,1.0,1.0
2019-11-15 16:32:06,1,7,0.75,1.0,1.0
2019-11-15 16:32:07,1,2,0.3333333333333333,1.0,1.0
2019-11-15 16:32:08,0,2,1.0,1.0,0.0
2019-11-15 16:32:09,0,5,1.0,1.0,0.0
2019-11-15 16:32:10,0,6,1.0,1.0,0.0
2019-11-15 16:32:11,0,5,1.0,1.0,0.0
2019-11-15 16:32:12,0,4,1.0,1.0,0.0
2019-11-15 16:32:13,0,8,1.0,1.0,0.0
2019-11-15 16:32:14,0,7,1.0,1.0,0.0
2019-11-15 16:32:15,0,6,1.0,1.0,0.0
2019-11-15 16:32:16,1,8,0.7777777777777778,1.0,1.0
2019-11-15 16:32:17,2,6,0.5,1.0,1.0
2019-11-15 16:32:18,3,8,0.45454545454545453,1.0,1.0
2019-11-15 16:32:19,1,3,0.5,1.0,1.0
2019-11-15 16:32:20,6,5,-0.09090909090909091,1.0,1.0
2019-11-15 16:32:21,7,6,-0.07692307692307693,1.0,1.0
