,time,l,r
0,2019-11-15 16:31:17.400,0.0,0.0
1,2019-11-15 16:31:17.900,0.0,0.0
2,2019-11-15 16:31:18.400,0.0,0.0
3,2019-11-15 16:31:18.900,0.0,0.0
4,2019-11-15 16:31:19.400,0.0,0.0
5,2019-11-15 16:31:19.900,0.0,0.0
6,2019-11-15 16:31:20.400,0.0,0.0
7,2019-11-15 16:31:20.900,0.0,1.0
8,2019-11-15 16:31:21.400,0.0,1.0
9,2019-11-15 16:31:21.900,0.0,1.0
10,2019-11-15 16:31:22.400,0.0,1.0
11,2019-11-15 16:31:22.900,0.0,1.0
12,2019-11-15 16:31:23.400,0.0,0.0
13,2019-11-15 16:31:23.900,0.0,0.0
14,2019-11-15 16:31:24.400,0.0,1.0
15,2019-11-15 16:31:24.900,0.0,1.0
16,2019-11-15 16:31:25.400,0.0,1.0
17,2019-11-15 16:31:25.900,0.0,1.0
18,2019-11-15 16:31:26.400,0.0,1.0
19,2019-11-15 16:31:26.900,0.0,1.0
20,2019-11-15 16:31:27.400,0.0,1.0
21,2019-11-15 16:31:27.900,0.0,1.0
22,2019-11-15 16:31:28.400,0.0,1.0
23,2019-11-15 16:31:28.900,0.0,1.0
24,2019-11-15 16:31:29.400,0.0,1.0
25,2019-11-15 16:31:29.900,0.0,1.0
26,2019-11-15 16:31:30.400,0.0,1.0
27,2019-11-15 16:31:30.900,0.0,1.0
28,2019-11-15 16:31:31.400,0.0,1.0
29,2019-11-15 16:31:31.900,0.0,1.0
30,2019-11-15 16:31:32.400,0.0,1.0
31,2019-11-15 16:31:32.900,0.0,1.0
32,2019-11-15 16:31:33.400,0.0,1.0
33,2019-11-15 16:31:33.900,0.0,0.0
34,2019-11-15 16:31:34.400,1.0,0.0
35,2019-11-15 16:31:34.900,1.0,0.0
36,2019-11-15 16:31:35.400,1.0,0.0
37,2019-11-15 16:31:35.900,1.0,0.0
38,2019-11-15 16:31:36.400,1.0,0.0
39,2019-11-15 16:31:36.900,1.0,0.0
40,2019-11-15 16:31:37.400,0.0,0.0
41,2019-11-15 16:31:37.900,0.0,0.0
42,2019-11-15 16:31:38.400,0.0,0.0
43,2019-11-15 16:31:38.900,1.0,0.0
44,2019-11-15 16:31:39.400,0.0,0.0
45,2019-11-15 16:31:39.900,0.0,1.0
46,2019-11-15 16:31:40.400,0.0,1.0
47,2019-11-15 16:31:40.900,0.0,1.0
48,2019-11-15 16:31:41.400,0.0,1.0
49,2019-11-15 16:31:41.900,0.0,0.0
50,2019-11-15 16:31:42.400,0.0,0.0
51,2019-11-15 16:31:42.900,0.0,0.0
52,2019-11-15 16:31:43.400,0.0,0.0
53,2019-11-15 16:31:43.900,0.0,0.0
54,2019-11-15 16:31:44.400,0.0,1.0
55,2019-11-15 16:31:44.900,0.0,1.0
56,2019-11-15 16:31:45.400,0.0,0.0
57,2019-11-15 16:31:45.900,0.0,0.0
58,2019-11-15 16:31:46.400,0.0,0.0
59,2019-11-15 16:31:46.900,0.0,0.0
60,2019-11-15 16:31:47.400,0.0,0.0
61,2019-11-15 16:31:47.900,0.0,0.0
62,2019-11-15 16:31:48.400,0.0,0.0
63,2019-11-15 16:31:48.900,0.0,0.0
64,2019-11-15 16:31:49.400,0.0,0.0
65,2019-11-15 16:31:49.900,0.0,0.0
66,2019-11-15 16:31:50.400,0.0,1.0
67,2019-11-15 16:31:50.900,0.0,1.0
68,2019-11-15 16:31:51.400,0.0,1.0
69,2019-11-15 16:31:51.900,0.0,1.0
70,2019-11-15 16:31:52.400,0.0,1.0
71,2019-11-15 16:31:52.900,0.0,1.0
72,2019-11-15 16:31:53.400,0.0,0.0
73,2019-11-15 16:31:53.900,0.0,0.0
74,2019-11-15 16:31:54.400,0.0,1.0
75,2019-11-15 16:31:54.900,0.0,1.0
76,2019-11-15 16:31:55.400,0.0,1.0
77,2019-11-15 16:31:55.900,0.0,1.0
78,2019-11-15 16:31:56.400,0.0,1.0
79,2019-11-15 16:31:56.900,0.0,1.0
80,2019-11-15 16:31:57.400,0.0,1.0
81,2019-11-15 16:31:57.900,1.0,1.0
82,2019-11-15 16:31:58.400,1.0,1.0
83,2019-11-15 16:31:58.900,0.0,0.0
84,2019-11-15 16:31:59.400,0.0,0.0
85,2019-11-15 16:31:59.900,0.0,0.0
86,2019-11-15 16:32:00.400,0.0,0.0
87,2019-11-15 16:32:00.900,0.0,0.0
88,2019-11-15 16:32:01.400,0.0,1.0
89,2019-11-15 16:32:01.900,0.0,1.0
90,2019-11-15 16:32:02.400,0.0,1.0
91,2019-11-15 16:32:02.900,0.0,1.0
92,2019-11-15 16:32:03.400,0.0,1.0
93,2019-11-15 16:32:03.900,0.0,0.0
94,2019-11-15 16:32:04.400,0.0,0.0
95,2019-11-15 16:32:04.900,0.0,1.0
96,2019-11-15 16:32:05.400,0.0,1.0
97,2019-11-15 16:32:05.900,0.0,1.0
98,2019-11-15 16:32:06.400,0.0,0.0
99,2019-11-15 16:32:06.900,0.0,0.0
100,2019-11-15 16:32:07.400,0.0,0.0
101,2019-11-15 16:32:07.900,0.0,0.0
102,2019-11-15 16:32:08.400,0.0,0.0
103,2019-11-15 16:32:08.900,0.0,0.0
104,2019-11-15 16:32:09.400,0.0,0.0
105,2019-11-15 16:32:09.900,0.0,0.0
106,2019-11-15 16:32:10.400,0.0,1.0
107,2019-11-15 16:32:10.900,0.0,1.0
108,2019-11-15 16:32:11.400,0.0,1.0
109,2019-11-15 16:32:11.900,0.0,1.0
110,2019-11-15 16:32:12.400,0.0,1.0
111,2019-11-15 16:32:12.900,0.0,1.0
112,2019-11-15 16:32:13.400,0.0,0.0
113,2019-11-15 16:32:13.900,0.0,0.0
114,2019-11-15 16:32:14.400,0.0,0.0
115,2019-11-15 16:32:14.900,0.0,0.0
116,2019-11-15 16:32:15.400,0.0,0.0
117,2019-11-15 16:32:15.900,0.0,0.0
118,2019-11-15 16:32:16.400,0.0,1.0
119,2019-11-15 16:32:16.900,0.0,1.0
120,2019-11-15 16:32:17.400,0.0,1.0
121,2019-11-15 16:32:17.900,0.0,1.0
122,2019-11-15 16:32:18.400,0.0,1.0
123,2019-11-15 16:32:18.900,0.0,0.0
124,2019-11-15 16:32:19.400,0.0,1.0
125,2019-11-15 16:32:19.900,0.0,1.0
126,2019-11-15 16:32:20.400,0.0,1.0
127,2019-11-15 16:32:20.900,0.0,1.0
128,2019-11-15 16:32:21.400,1.0,1.0
129,2019-11-15 16:32:21.900,0.0,1.0
130,2019-11-15 16:32:22.400,0.0,1.0
131,2019-11-15 16:32:22.900,0.0,1.0
132,2019-11-15 16:32:23.400,0.0,1.0
133,2019-11-15 16:32:23.900,0.0,1.0
134,2019-11-15 16:32:24.400,0.0,1.0
135,2019-11-15 16:32:24.900,0.0,1.0
136,2019-11-15 16:32:25.400,0.0,1.0
137,2019-11-15 16:32:25.900,0.0,1.0
138,2019-11-15 16:32:26.400,0.0,1.0
139,2019-11-15 16:32:26.900,0.0,1.0
140,2019-11-15 16:32:27.400,0.0,1.0
141,2019-11-15 16:32:27.900,0.0,1.0
142,2019-11-15 16:32:28.400,0.0,0.0
143,2019-11-15 16:32:28.900,0.0,0.0
144,2019-11-15 16:32:29.400,0.0,1.0
145,2019-11-15 16:32:29.900,0.0,1.0
146,2019-11-15 16:32:30.400,0.0,1.0
147,2019-11-15 16:32:30.900,0.0,1.0
148,2019-11-15 16:32:31.400,0.0,1.0
149,2019-11-15 16:32:31.900,0.0,1.0
150,2019-11-15 16:32:32.400,0.0,1.0
151,2019-11-15 16:32:32.900,0.0,1.0
152,2019-11-15 16:32:33.400,0.0,1.0
153,2019-11-15 16:32:33.900,0.0,1.0
154,2019-11-15 16:32:34.400,0.0,1.0
155,2019-11-15 16:32:34.900,0.0,1.0
156,2019-11-15 16:32:35.400,0.0,1.0
157,2019-11-15 16:32:35.900,0.0,1.0
158,2019-11-15 16:32:36.400,0.0,1.0
159,2019-11-15 16:32:36.900,0.0,1.0
160,2019-11-15 16:32:37.400,0.0,1.0
161,2019-11-15 16:32:37.900,0.0,1.0
162,2019-11-15 16:32:38.400,0.0,1.0
163,2019-11-15 16:32:38.900,0.0,1.0
164,2019-11-15 16:32:39.400,0.0,1.0
165,2019-11-15 16:32:39.900,0.0,1.0
166,2019-11-15 16:32:40.400,0.0,1.0
