time,l,r,iteration
2019-11-15 16:31:34.740,1,1,0
2019-11-15 16:31:47.500,1,1,0
2019-11-15 16:32:13.740,0,1,0
2019-11-15 16:35:36.000,1,0,0
2019-11-15 16:33:45.500,0,1,0
2019-11-15 16:32:16.240,0,1,0
2019-11-15 16:31:59.740,0,1,0
2019-11-15 16:32:52.500,1,0,0
2019-11-15 16:35:00.740,0,1,0
2019-11-15 16:33:00.740,1,0,0
2019-11-15 16:34:53.240,1,1,0
2019-11-15 16:31:34.500,1,1,0
2019-11-15 16:34:07.500,0,0,0
2019-11-15 16:33:37.000,0,1,0
2019-11-15 16:33:47.240,1,1,0
2019-11-15 16:34:18.500,0,0,0
2019-11-15 16:33:18.500,0,1,0
2019-11-15 16:31:32.000,0,1,0
2019-11-15 16:33:57.240,1,1,0
2019-11-15 16:32:38.740,0,1,0
2019-11-15 16:34:13.500,0,1,0
2019-11-15 16:32:58.240,0,0,0
2019-11-15 16:32:44.740,1,0,0
2019-11-15 16:35:09.000,0,1,0
2019-11-15 16:31:27.500,0,1,0
2019-11-15 16:34:29.740,0,0,0
2019-11-15 16:31:16.740,0,1,0
2019-11-15 16:35:01.740,0,1,0
2019-11-15 16:32:17.000,0,1,0
2019-11-15 16:31:51.000,1,1,0
2019-11-15 16:34:13.240,0,1,0
2019-11-15 16:35:32.500,1,0,0
2019-11-15 16:33:24.240,0,1,0
2019-11-15 16:34:27.740,1,0,0
2019-11-15 16:33:27.740,0,1,0
2019-11-15 16:32:08.240,0,1,0
2019-11-15 16:32:05.500,0,1,0
2019-11-15 16:32:08.740,0,1,0
2019-11-15 16:31:21.740,0,0,0
2019-11-25 17:00:04.500,1,1,0
2019-11-25 16:56:58.740,1,1,0
2019-11-25 16:54:56.000,0,1,0
2019-11-25 16:50:09.500,1,1,0
2019-11-25 16:58:37.740,0,1,0
2019-11-25 16:49:55.000,0,1,0
2019-11-25 16:51:47.240,0,1,0
2019-11-25 16:47:01.000,1,0,0
2019-11-25 17:00:36.740,0,1,0
2019-11-25 16:50:32.240,1,0,0
2019-11-25 16:48:04.740,0,0,0
2019-11-25 16:56:25.240,0,1,0
2019-11-25 16:54:43.500,0,1,0
2019-11-25 16:57:23.000,0,1,0
2019-11-25 16:49:31.500,1,0,0
2019-11-25 16:50:53.000,0,1,0
2019-11-25 16:59:40.240,0,1,0
2019-11-25 16:47:39.500,0,1,0
2019-11-25 17:00:17.500,0,1,0
2019-11-25 16:48:37.240,0,1,0
2019-11-25 16:53:08.740,1,1,0
2019-11-25 16:48:03.240,1,0,0
2019-11-25 16:54:14.000,0,1,0
2019-11-25 16:47:44.500,0,0,0
2019-11-25 16:53:47.000,0,0,0
2019-11-25 16:49:33.740,0,0,0
2019-11-25 16:48:00.500,1,0,0
2019-11-25 16:47:08.740,1,1,0
2019-11-25 16:53:44.740,0,0,0
2019-11-25 16:57:35.000,1,1,0
2019-11-25 16:52:22.000,1,1,0
2019-11-25 17:00:45.000,0,1,0
2019-11-25 16:54:25.740,1,1,0
2019-11-25 16:54:46.240,0,1,0
2019-11-25 16:49:56.500,0,1,0
2019-11-25 16:49:23.240,1,0,0
2019-11-25 16:57:19.740,0,1,0
2019-11-25 16:58:50.000,1,1,0
2019-11-25 16:50:05.000,1,1,0
2019-11-25 16:51:46.500,0,1,0
2019-11-25 16:49:33.500,0,0,0
2019-11-25 16:51:58.500,0,1,0
2019-11-25 16:59:36.500,1,1,0
2019-11-25 16:50:08.740,1,1,0
2019-11-25 16:47:49.500,1,0,0
2019-11-25 16:55:34.000,0,1,0
2019-11-25 16:57:57.740,0,1,0
2019-11-25 17:00:42.000,1,1,0
2019-11-25 16:50:23.500,0,1,0
2019-11-25 16:54:43.240,0,1,0
2019-11-25 16:57:29.000,1,1,0
2019-11-25 16:49:12.740,0,1,0
2019-11-25 16:49:35.240,0,1,0
2019-11-25 16:58:20.240,0,1,0
2019-11-25 16:52:32.240,1,1,0
2019-11-25 16:57:36.740,0,1,0
2019-11-25 16:57:01.240,0,1,0
2019-11-25 16:54:55.500,1,1,0
2019-11-25 16:54:02.500,0,0,0
2019-11-25 16:55:55.000,0,1,0
2019-11-25 16:54:45.240,0,1,0
2019-11-25 16:56:39.240,0,1,0
2019-11-25 16:54:31.500,1,1,0
2019-11-25 16:50:51.740,0,1,0
2019-11-25 16:52:15.000,0,0,0
2019-11-25 16:56:19.240,0,1,0
2019-11-25 16:56:05.240,0,1,0
2019-11-25 16:50:18.000,1,1,0
2019-11-25 16:51:56.240,0,1,0
2019-11-25 16:49:31.000,1,0,0
2019-11-25 17:00:06.500,1,1,0
2019-11-25 16:48:07.000,1,0,0
2019-11-25 17:00:47.240,0,1,0
2019-11-25 16:49:13.500,0,1,0
2019-11-25 16:59:38.240,1,1,0
2019-11-25 16:47:07.740,1,1,0
2019-11-25 16:59:15.000,0,1,0
2019-11-25 16:54:37.240,1,1,0
2019-11-25 16:55:40.740,1,1,0
2019-11-25 16:49:36.500,0,0,0
2019-11-25 16:54:35.500,1,1,0
2019-11-25 16:52:10.000,0,1,0
2019-11-25 17:00:32.740,0,1,0
2019-11-25 16:48:09.000,0,0,0
2019-11-25 16:58:21.240,0,1,0
2019-11-25 16:56:32.500,1,1,0
2019-11-25 16:49:10.240,0,1,0
2019-11-25 16:52:20.240,1,1,0
2019-11-25 17:00:21.500,0,1,0
2019-11-25 17:00:51.000,0,1,0
2019-11-25 16:57:20.740,0,1,0
2019-11-25 16:48:29.240,0,1,0
2019-11-25 16:51:45.240,0,1,0
2019-11-25 16:50:54.000,1,1,0
2019-11-25 16:56:36.500,0,1,0
2019-11-25 16:48:51.000,1,1,0
2019-11-25 16:53:47.500,0,1,0
2019-11-25 17:00:46.000,0,1,0
2019-11-25 16:58:30.000,1,1,0
2019-11-25 16:49:19.000,1,1,0
2019-11-25 16:49:59.240,0,1,0
2019-11-25 16:47:57.500,1,0,0
2019-11-25 16:47:48.500,1,0,0
2019-11-25 16:52:29.500,1,1,0
2019-11-25 17:00:08.500,1,1,0
2019-11-25 16:49:31.740,1,0,0
2019-11-25 16:56:58.000,1,1,0
2019-11-25 16:56:25.000,0,1,0
2019-11-25 16:55:08.000,0,1,0
2019-11-25 17:00:32.240,0,1,0
2019-11-25 17:00:52.000,0,1,0
2019-11-25 16:54:32.240,1,1,0
2019-11-25 16:50:10.240,1,1,0
2019-11-26 16:57:29.240,1,1,0
2019-11-26 16:56:48.240,1,1,0
2019-11-26 16:57:41.240,0,1,0
2019-11-26 16:57:28.500,1,1,0
2019-11-26 16:54:03.740,1,1,0
2019-11-26 16:51:26.500,1,0,0
2019-11-26 16:52:56.240,1,1,0
2019-11-26 16:50:58.240,1,0,0
2019-11-26 16:54:46.000,1,1,0
2019-11-26 16:54:33.740,1,1,0
2019-11-26 16:54:39.740,1,1,0
2019-11-26 16:53:37.500,0,1,0
2019-11-26 16:55:55.500,0,0,0
2019-11-26 16:51:39.500,0,1,0
2019-11-26 16:56:56.000,0,1,0
2019-11-26 16:53:40.500,0,0,0
2019-11-26 16:56:51.240,1,1,0
2019-11-26 16:56:49.240,1,1,0
2019-11-26 16:51:05.740,1,0,0
2019-11-26 16:51:21.500,1,0,0
2019-11-26 16:56:22.740,0,1,0
2019-11-26 16:56:09.240,1,1,0
2019-11-26 16:51:37.500,1,0,0
2019-11-26 16:57:20.000,1,1,0
2019-11-26 16:54:23.500,1,1,0
2019-11-26 16:54:35.740,1,1,0
2019-11-26 16:53:31.000,0,0,0
2019-11-26 16:52:50.740,1,1,0
2019-11-26 16:55:18.740,1,1,0
2019-11-26 16:51:53.240,1,1,0
2019-11-26 16:56:31.000,0,1,0
2019-11-26 16:57:07.000,1,1,0
2019-11-26 16:56:57.240,0,1,0
2019-11-26 16:54:21.240,1,1,0
2019-11-26 16:55:02.000,1,1,0
2019-11-26 16:56:34.500,1,1,0
2019-11-26 16:51:14.740,1,0,0
2019-11-26 16:53:41.740,0,0,0
2019-11-26 16:53:13.500,0,1,0
2019-11-26 16:56:42.240,1,1,0
2019-11-26 16:56:38.740,1,1,0
2019-11-26 16:52:51.740,1,1,0
2019-11-26 16:51:01.240,1,0,0
2019-11-26 16:55:23.740,1,1,0
2019-11-26 16:56:42.740,1,1,0
2019-11-26 16:56:06.500,1,1,0
2019-11-26 16:56:26.000,0,1,0
2019-11-26 16:57:40.500,1,1,0
2019-11-26 16:53:38.500,0,1,0
2019-11-26 16:55:26.240,1,1,0
2019-11-26 16:56:13.000,1,1,0
2019-11-26 16:53:00.000,1,1,0
2019-11-26 16:51:44.000,1,0,0
2019-11-26 16:53:21.240,1,0,0
2019-11-26 16:51:03.240,1,0,0
2019-11-26 16:51:35.740,1,0,0
2019-11-26 16:51:45.740,1,0,0
2019-11-26 16:55:05.240,1,1,0
2020-01-03 16:20:20.500,0,0,0
2020-01-03 16:20:45.740,1,0,0
2020-01-03 16:15:28.740,0,1,0
2020-01-03 16:16:28.000,1,1,0
2020-01-03 16:15:22.240,1,0,0
2020-01-03 16:15:58.240,1,0,0
2020-01-03 16:17:07.000,1,0,0
2020-01-03 16:15:53.000,1,1,0
2020-01-03 16:16:32.000,1,1,0
2020-01-03 16:17:19.240,1,1,0
2020-01-03 16:20:25.740,0,0,0
2020-01-03 16:16:24.500,1,1,0
2020-01-03 16:16:43.740,1,1,0
2020-01-03 16:15:52.240,0,1,0
2020-01-03 16:15:21.500,1,0,0
2020-01-03 16:21:21.000,0,0,0
2020-01-03 16:15:24.000,0,0,0
2020-01-03 16:15:58.740,1,0,0
2020-01-03 16:15:21.240,1,0,0
2020-01-03 16:16:42.000,1,1,0
2020-01-03 16:15:32.500,0,1,0
2020-01-03 16:17:25.000,0,0,0
2020-01-03 16:17:16.240,1,1,0
2020-01-03 16:17:21.000,1,1,0
2020-01-03 16:21:17.000,0,0,0
2020-01-03 16:15:33.000,0,0,0
2020-01-03 16:20:25.240,0,0,0
2020-01-03 16:20:14.240,0,0,0
2020-01-03 16:20:35.740,1,0,0
2020-01-03 16:16:48.240,1,1,0
2020-01-03 16:16:27.000,1,1,0
2020-01-03 16:15:19.740,1,0,0
2020-01-03 16:15:46.500,1,0,0
2020-01-03 16:20:48.240,1,0,0
2020-01-16 12:24:20.240,0,1,0
2020-01-16 12:24:58.240,0,0,0
2020-01-16 12:26:23.240,0,1,0
2020-01-16 12:24:42.500,0,1,0
2020-01-16 12:25:39.740,0,1,0
2020-01-16 12:26:14.240,0,1,0
2020-01-16 12:30:10.500,0,1,0
2020-01-16 12:30:00.240,0,0,0
2020-01-16 12:30:35.500,0,1,0
2020-01-16 12:23:37.240,0,0,0
2020-01-16 12:30:19.000,0,1,0
2020-01-16 12:23:37.000,0,0,0
2020-01-16 12:24:57.240,0,0,0
2020-01-16 12:25:34.500,0,1,0
2020-01-16 12:29:53.240,0,0,0
2020-01-16 12:30:39.240,0,0,0
2020-01-16 12:23:39.240,0,0,0
2020-01-16 12:23:58.240,0,1,0
2020-01-16 12:30:31.500,0,1,0
2020-01-16 12:26:18.740,0,1,0
2020-01-16 12:24:53.000,0,0,0
2020-01-16 12:23:53.240,0,1,0
2020-01-16 12:30:14.500,0,1,0
