time,l,r
2019-11-15 16:31:15.740,1,1
2019-11-15 16:31:16.000,1,1
2019-11-15 16:31:16.240,1,1
2019-11-15 16:31:16.500,1,1
2019-11-15 16:31:16.740,1,1
2019-11-15 16:31:17.000,1,1
2019-11-15 16:31:17.240,1,1
2019-11-15 16:31:17.500,1,1
2019-11-15 16:31:17.740,1,1
2019-11-15 16:31:18.000,1,1
2019-11-15 16:31:18.240,1,1
2019-11-15 16:31:18.500,1,1
2019-11-15 16:31:18.740,1,1
2019-11-15 16:31:19.000,1,1
2019-11-15 16:31:19.240,1,1
2019-11-15 16:31:19.500,1,1
2019-11-15 16:31:19.740,1,1
2019-11-15 16:31:20.000,1,0
2019-11-15 16:31:20.240,1,1
2019-11-15 16:31:20.500,1,1
2019-11-15 16:31:20.740,1,1
2019-11-15 16:31:21.000,1,1
2019-11-15 16:31:21.240,1,1
2019-11-15 16:31:21.500,1,1
2019-11-15 16:31:21.740,1,1
2019-11-15 16:31:22.000,1,1
2019-11-15 16:31:22.240,1,1
2019-11-15 16:31:22.500,1,1
2019-11-15 16:31:22.740,1,1
2019-11-15 16:31:23.000,1,1
2019-11-15 16:31:23.240,1,1
2019-11-15 16:31:23.500,1,1
2019-11-15 16:31:23.740,1,1
2019-11-15 16:31:24.000,1,1
2019-11-15 16:31:24.240,1,0
2019-11-15 16:31:24.500,1,1
2019-11-15 16:31:24.740,1,1
2019-11-15 16:31:25.000,1,1
2019-11-15 16:31:25.240,1,1
2019-11-15 16:31:25.500,1,1
2019-11-15 16:31:25.740,1,1
2019-11-15 16:31:26.000,1,1
2019-11-15 16:31:26.240,1,1
2019-11-15 16:31:26.500,1,1
2019-11-15 16:31:26.740,1,1
2019-11-15 16:31:27.000,1,1
2019-11-15 16:31:27.240,1,1
2019-11-15 16:31:27.500,1,1
2019-11-15 16:31:27.740,1,1
2019-11-15 16:31:28.000,1,1
2019-11-15 16:31:28.240,0,1
2019-11-15 16:31:28.500,1,1
2019-11-15 16:31:28.740,1,1
2019-11-15 16:31:29.000,1,1
2019-11-15 16:31:29.240,1,1
2019-11-15 16:31:29.500,1,1
2019-11-15 16:31:29.740,1,1
2019-11-15 16:31:30.000,1,1
2019-11-15 16:31:30.240,1,1
2019-11-15 16:31:30.500,1,1
2019-11-15 16:31:30.740,1,1
2019-11-15 16:31:31.000,1,1
2019-11-15 16:31:31.240,1,1
2019-11-15 16:31:31.500,1,1
2019-11-15 16:31:31.740,1,1
2019-11-15 16:31:32.000,1,0
2019-11-15 16:31:32.240,1,0
2019-11-15 16:31:32.500,1,1
2019-11-15 16:31:32.740,1,1
2019-11-15 16:31:33.000,1,1
2019-11-15 16:31:33.240,1,1
2019-11-15 16:31:33.500,1,0
2019-11-15 16:31:33.740,1,1
2019-11-15 16:31:34.000,1,0
2019-11-15 16:31:34.240,1,0
2019-11-15 16:31:34.500,1,1
2019-11-15 16:31:34.740,1,1
2019-11-15 16:31:35.000,1,0
2019-11-15 16:31:35.240,1,0
2019-11-15 16:31:35.500,1,0
2019-11-15 16:31:35.740,1,0
2019-11-15 16:31:36.000,1,0
2019-11-15 16:31:36.240,1,0
2019-11-15 16:31:36.500,0,0
2019-11-15 16:31:36.740,0,0
2019-11-15 16:31:37.000,0,1
2019-11-15 16:31:37.240,0,1
2019-11-15 16:31:37.500,0,0
2019-11-15 16:31:37.740,0,1
2019-11-15 16:31:38.000,0,1
2019-11-15 16:31:38.240,0,1
2019-11-15 16:31:38.500,1,1
2019-11-15 16:31:38.740,1,1
2019-11-15 16:31:39.000,0,1
2019-11-15 16:31:39.240,0,1
2019-11-15 16:31:39.500,1,1
2019-11-15 16:31:39.740,0,1
2019-11-15 16:31:40.000,1,1
2019-11-15 16:31:40.240,1,1
2019-11-15 16:31:40.500,1,1
