time,l,r,iteration
2019-11-15 16:33:51.500,1,1,0
2019-11-15 16:34:27.000,0,0,0
2019-11-15 16:32:15.500,0,1,0
2019-11-15 16:34:21.740,1,0,0
2019-11-15 16:34:48.240,0,0,0
2019-11-15 16:32:14.740,0,1,0
2019-11-15 16:33:39.740,0,1,0
2019-11-15 16:32:39.000,0,1,0
2019-11-15 16:31:54.500,0,1,0
2019-11-15 16:33:04.000,0,0,0
2019-11-15 16:34:13.740,0,1,0
2019-11-15 16:32:47.240,0,0,0
2019-11-15 16:33:40.000,0,1,0
2019-11-15 16:31:28.000,0,1,0
2019-11-15 16:32:28.740,0,1,0
2019-11-15 16:31:35.740,0,1,0
2019-11-15 16:33:49.240,1,1,0
2019-11-15 16:33:46.240,1,1,0
2019-11-15 16:31:46.240,1,1,0
2019-11-15 16:33:56.240,1,1,0
2019-11-15 16:35:30.000,1,0,0
2019-11-15 16:31:44.240,0,1,0
2019-11-15 16:34:56.740,0,1,0
2019-11-15 16:33:03.500,0,0,0
2019-11-15 16:31:55.240,0,1,0
2019-11-15 16:32:37.500,0,1,0
2019-11-15 16:33:32.240,0,1,0
2019-11-15 16:33:18.500,0,1,0
2019-11-15 16:33:45.240,0,1,0
2019-11-15 16:32:31.000,0,1,0
2019-11-15 16:32:35.240,0,1,0
2019-11-15 16:34:46.740,0,1,0
2019-11-15 16:31:53.000,0,1,0
2019-11-15 16:34:37.740,1,0,0
2019-11-15 16:32:15.240,0,1,0
2019-11-15 16:32:27.000,0,1,0
2019-11-25 16:57:09.740,0,1,0
2019-11-25 16:56:22.000,0,1,0
2019-11-25 16:50:18.500,1,1,0
2019-11-25 16:49:44.500,0,1,0
2019-11-25 16:58:01.500,0,1,0
2019-11-25 17:00:12.740,1,1,0
2019-11-25 16:55:41.500,0,1,0
2019-11-25 16:58:06.000,1,1,0
2019-11-25 16:47:49.000,1,0,0
2019-11-25 16:47:04.740,0,0,0
2019-11-25 16:58:46.000,0,1,0
2019-11-25 16:52:15.740,0,1,0
2019-11-25 16:59:55.000,0,1,0
2019-11-25 16:48:22.240,1,1,0
2019-11-25 16:52:06.000,0,1,0
2019-11-25 16:49:30.740,1,0,0
2019-11-25 16:55:36.740,1,1,0
2019-11-25 16:57:22.000,0,1,0
2019-11-25 16:57:29.240,1,1,0
2019-11-25 16:50:08.240,1,1,0
2019-11-25 16:47:29.740,0,1,0
2019-11-25 16:51:03.740,1,1,0
2019-11-25 16:49:43.240,1,0,0
2019-11-25 16:56:50.740,0,1,0
2019-11-25 16:47:27.000,0,1,0
2019-11-25 17:00:34.500,0,1,0
2019-11-25 16:57:41.740,1,1,0
2019-11-25 16:57:03.240,0,1,0
2019-11-25 16:55:22.500,0,1,0
2019-11-25 16:51:05.000,1,1,0
2019-11-25 16:51:27.240,0,1,0
2019-11-25 16:57:18.000,0,1,0
2019-11-25 16:51:05.240,1,1,0
2019-11-25 17:00:30.500,0,1,0
2019-11-25 16:47:12.240,0,1,0
2019-11-25 16:56:57.240,0,1,0
2019-11-25 16:47:59.000,1,0,0
2019-11-25 16:52:28.740,0,1,0
2019-11-25 16:59:42.000,0,1,0
2019-11-25 16:53:14.240,1,1,0
2019-11-25 16:58:50.740,1,1,0
2019-11-25 16:49:08.240,1,0,0
2019-11-25 16:55:05.000,1,1,0
2019-11-25 16:57:31.240,1,1,0
2019-11-25 16:49:48.500,1,1,0
2019-11-25 16:55:33.740,1,1,0
2019-11-25 16:55:20.240,1,1,0
2019-11-25 16:54:01.240,0,0,0
2019-11-25 17:00:51.000,0,1,0
2019-11-25 16:51:52.740,0,1,0
2019-11-25 16:59:20.740,0,1,0
2019-11-25 16:57:54.500,0,1,0
2019-11-25 16:48:15.240,1,0,0
2019-11-25 16:59:14.740,0,1,0
2019-11-25 16:53:46.740,0,0,0
2019-11-25 16:53:49.500,0,0,0
2019-11-25 16:47:52.240,1,0,0
2019-11-25 16:51:25.000,1,1,0
2019-11-25 16:53:15.500,1,1,0
2019-11-25 16:57:50.500,0,1,0
2019-11-25 16:53:51.240,0,0,0
2019-11-25 16:48:29.500,1,1,0
2019-11-25 16:51:16.740,1,1,0
2019-11-25 16:51:33.240,1,1,0
2019-11-25 16:48:12.740,1,0,0
2019-11-25 16:56:02.000,0,1,0
2019-11-25 16:56:36.240,0,1,0
2019-11-25 16:52:11.000,0,0,0
2019-11-25 16:50:23.740,0,1,0
2019-11-25 16:54:13.740,0,1,0
2019-11-25 16:57:39.000,1,1,0
2019-11-25 16:50:55.000,1,1,0
2019-11-25 16:56:49.000,1,1,0
2019-11-25 16:47:25.240,0,1,0
2019-11-25 16:49:13.000,0,1,0
2019-11-25 16:54:50.000,0,1,0
2019-11-25 16:57:33.740,0,1,0
2019-11-25 17:00:50.240,0,1,0
2019-11-25 16:49:39.740,1,0,0
2019-11-25 16:58:15.740,1,1,0
2019-11-25 16:52:41.240,1,1,0
2019-11-25 16:52:34.740,1,1,0
2019-11-25 16:54:52.740,0,1,0
2019-11-25 16:59:57.240,0,1,0
2019-11-25 16:56:21.500,0,1,0
2019-11-25 16:54:04.500,0,0,0
2019-11-25 16:49:31.000,1,0,0
2019-11-25 16:51:06.500,1,1,0
2019-11-25 16:56:25.500,0,1,0
2019-11-25 16:58:18.240,0,1,0
2019-11-25 16:59:50.240,0,1,0
2019-11-25 16:56:17.740,0,1,0
2019-11-25 16:53:38.500,0,1,0
2019-11-25 16:59:55.500,0,0,0
2019-11-25 16:47:13.000,0,1,0
2019-11-25 16:55:39.240,1,1,0
2019-11-25 16:48:21.240,1,1,0
2019-11-25 16:54:15.740,0,1,0
2019-11-25 16:49:23.740,1,0,0
2019-11-25 16:47:49.500,1,0,0
2019-11-25 17:00:50.000,0,1,0
2019-11-25 16:51:34.740,1,1,0
2019-11-25 16:54:55.000,0,1,0
2019-11-25 16:59:12.000,1,1,0
2019-11-25 16:52:20.240,1,1,0
2019-11-25 16:54:49.500,0,1,0
2019-11-25 16:49:17.500,0,1,0
2019-11-25 17:00:12.500,1,1,0
2019-11-25 16:54:03.000,0,0,0
2019-11-25 16:50:00.000,0,1,0
2019-11-25 17:00:24.740,0,1,0
2019-11-25 16:50:33.740,0,0,0
2019-11-25 16:56:18.240,0,1,0
2019-11-25 16:52:08.000,1,0,0
2019-11-25 16:57:25.240,1,1,0
2019-11-25 16:50:46.740,1,1,0
2019-11-25 16:58:47.000,1,1,0
2019-11-25 16:47:54.740,1,0,0
2019-11-25 16:52:07.740,1,0,0
2019-11-25 16:50:41.740,1,1,0
2019-11-25 16:53:22.500,1,1,0
2019-11-25 16:51:20.240,0,1,0
2019-11-25 16:51:10.000,1,1,0
2019-11-25 16:53:19.240,1,1,0
2019-11-25 16:47:28.000,0,1,0
2019-11-25 16:55:45.240,0,1,0
2019-11-25 16:50:11.240,1,1,0
2019-11-25 16:56:08.000,0,1,0
2019-11-25 16:49:24.740,1,0,0
2019-11-25 16:47:46.000,1,0,0
2019-11-25 16:53:32.000,0,1,0
2019-11-25 16:55:23.000,0,1,0
2019-11-25 16:55:03.740,0,1,0
2019-11-25 16:47:48.240,1,0,0
2019-11-25 17:00:27.240,0,1,0
2019-11-26 16:56:09.740,1,0,0
2019-11-26 16:51:07.240,1,0,0
2019-11-26 16:57:44.000,1,1,0
2019-11-26 16:56:18.500,0,1,0
2019-11-26 16:51:16.240,1,0,0
2019-11-26 16:52:01.500,1,1,0
2019-11-26 16:54:51.000,1,1,0
2019-11-26 16:52:49.240,1,0,0
2019-11-26 16:53:52.740,0,0,0
2019-11-26 16:56:53.740,1,1,0
2019-11-26 16:51:58.500,1,1,0
2019-11-26 16:55:25.500,1,1,0
2019-11-26 16:57:37.240,1,1,0
2019-11-26 16:51:56.500,1,1,0
2019-11-26 16:56:41.000,1,1,0
2019-11-26 16:57:32.240,1,1,0
2019-11-26 16:54:01.740,1,1,0
2019-11-26 16:51:03.500,1,0,0
2019-11-26 16:55:02.740,1,1,0
2019-11-26 16:50:57.240,1,0,0
2019-11-26 16:54:08.240,1,1,0
2019-11-26 16:53:46.740,0,0,0
2019-11-26 16:56:41.500,1,1,0
2019-11-26 16:51:25.000,1,0,0
2019-11-26 16:52:51.000,1,0,0
2019-11-26 16:51:43.240,0,0,0
2019-11-26 16:50:53.000,0,0,0
2019-11-26 16:53:17.740,0,1,0
2019-11-26 16:56:57.500,0,1,0
2019-11-26 16:54:00.000,1,1,0
2019-11-26 16:52:21.500,1,1,0
2019-11-26 16:53:26.240,1,0,0
2019-11-26 16:51:19.500,1,0,0
2019-11-26 16:55:56.000,0,0,0
2019-11-26 16:57:42.500,1,1,0
2019-11-26 16:50:54.240,0,0,0
2019-11-26 16:56:51.740,1,1,0
2019-11-26 16:51:50.740,1,1,0
2019-11-26 16:57:32.500,1,1,0
2019-11-26 16:54:59.740,1,1,0
2019-11-26 16:56:03.500,0,0,0
2019-11-26 16:54:49.000,1,1,0
2019-11-26 16:55:45.500,0,0,0
2019-11-26 16:56:20.740,1,1,0
2019-11-26 16:54:02.240,1,1,0
2019-11-26 16:56:06.740,1,1,0
2019-11-26 16:54:49.500,1,1,0
2019-11-26 16:53:21.240,1,1,0
2019-11-26 16:55:01.500,1,1,0
2019-11-26 16:54:46.000,1,1,0
2019-11-26 16:57:42.240,1,1,0
2019-11-26 16:56:00.500,0,0,0
2019-11-26 16:53:49.740,0,0,0
2019-11-26 16:51:44.500,1,1,0
2019-11-26 16:55:55.740,0,0,0
2019-11-26 16:56:17.740,1,1,0
2019-11-26 16:52:22.000,1,1,0
2019-11-26 16:56:59.500,0,0,0
2019-11-26 16:55:31.740,1,1,0
2019-11-26 16:51:39.740,1,0,0
2019-11-26 16:54:29.240,1,1,0
2019-11-26 16:53:03.500,1,1,0
2019-11-26 16:53:05.740,1,1,0
2019-11-26 16:53:43.240,1,0,0
2019-11-26 16:51:38.500,1,0,0
2019-11-26 16:53:21.740,1,1,0
2019-11-26 16:56:59.000,0,1,0
2019-11-26 16:55:19.500,1,1,0
2019-11-26 16:52:16.500,1,1,0
2019-11-26 16:54:48.240,1,1,0
2019-11-26 16:52:06.740,1,1,0
2019-11-26 16:54:57.240,1,1,0
2019-11-26 16:54:12.240,1,1,0
2019-11-26 16:51:38.240,1,0,0
2019-11-26 16:51:47.740,0,1,0
2019-11-26 16:54:01.500,1,1,0
2019-11-26 16:55:52.240,0,0,0
2019-11-26 16:53:02.240,1,1,0
2020-01-03 16:17:14.740,1,1,0
2020-01-03 16:15:58.000,1,0,0
2020-01-03 16:17:17.500,1,1,0
2020-01-03 16:17:03.240,1,1,0
2020-01-03 16:20:15.240,0,0,0
2020-01-03 16:21:26.500,0,0,0
2020-01-03 16:21:06.000,1,0,0
2020-01-03 16:20:51.240,1,0,0
2020-01-03 16:15:16.240,1,0,0
2020-01-03 16:20:50.000,1,0,0
2020-01-03 16:16:31.740,1,1,0
2020-01-03 16:20:58.500,1,0,0
2020-01-03 16:16:15.240,0,0,0
2020-01-03 16:16:30.500,1,1,0
2020-01-03 16:20:55.000,1,0,0
2020-01-03 16:17:12.740,1,1,0
2020-01-03 16:16:18.500,0,0,0
2020-01-03 16:16:56.240,1,1,0
2020-01-03 16:17:14.240,1,1,0
2020-01-03 16:15:02.000,0,1,0
2020-01-03 16:16:14.000,0,0,0
2020-01-03 16:21:14.000,0,0,0
2020-01-03 16:15:59.240,1,0,0
2020-01-03 16:16:54.740,1,1,0
2020-01-03 16:15:43.500,0,1,0
2020-01-03 16:16:54.240,1,1,0
2020-01-03 16:15:53.240,1,1,0
2020-01-03 16:16:05.740,1,0,0
2020-01-03 16:16:15.000,0,0,0
2020-01-03 16:21:23.500,0,0,0
2020-01-03 16:21:21.740,0,1,0
2020-01-03 16:15:09.500,1,0,0
2020-01-03 16:20:44.240,1,0,0
2020-01-03 16:15:55.500,1,0,0
2020-01-03 16:21:15.500,0,0,0
2020-01-03 16:16:25.740,1,1,0
2020-01-03 16:21:11.740,0,0,0
2020-01-03 16:20:22.500,0,0,0
2020-01-03 16:17:26.000,0,0,0
2020-01-16 12:30:30.000,0,0,0
2020-01-16 12:30:29.240,0,0,0
2020-01-16 12:30:33.740,0,1,0
2020-01-16 12:24:24.740,0,1,0
2020-01-16 12:24:41.000,0,1,0
