time,l,r,iteration
2019-11-15 16:31:29.500,1,1,0
2019-11-15 16:32:54.000,1,0,0
2019-11-15 16:32:24.500,0,1,0
2019-11-15 16:35:02.500,0,1,0
2019-11-15 16:32:43.240,1,0,0
2019-11-15 16:33:02.240,1,0,0
2019-11-15 16:33:03.500,1,0,0
2019-11-15 16:32:10.000,1,0,0
2019-11-15 16:34:51.000,0,1,0
2019-11-15 16:34:10.240,0,1,0
2019-11-15 16:31:51.000,1,1,0
2019-11-15 16:32:48.740,1,0,0
2019-11-15 16:32:11.740,0,0,0
2019-11-15 16:31:55.740,1,1,0
2019-11-15 16:31:44.740,0,1,0
2019-11-15 16:33:56.740,1,1,0
2019-11-15 16:34:18.000,0,0,0
2019-11-15 16:33:22.240,0,1,0
2019-11-15 16:34:47.000,0,1,0
2019-11-15 16:32:50.500,1,0,0
2019-11-15 16:32:09.500,0,1,0
2019-11-15 16:31:36.740,1,1,0
2019-11-15 16:33:16.000,0,1,0
2019-11-15 16:32:40.500,0,1,0
2019-11-15 16:35:47.740,1,0,0
2019-11-15 16:31:33.740,0,1,0
2019-11-15 16:33:00.240,1,0,0
2019-11-15 16:31:48.240,0,1,0
2019-11-15 16:32:37.000,0,1,0
2019-11-15 16:34:53.000,1,1,0
2019-11-15 16:32:01.240,0,1,0
2019-11-15 16:32:19.000,0,1,0
2019-11-15 16:34:12.740,0,1,0
2019-11-15 16:31:40.000,0,1,0
2019-11-15 16:33:33.740,0,1,0
2019-11-25 16:49:00.500,1,0,0
2019-11-25 16:57:54.740,0,1,0
2019-11-25 16:59:56.500,0,1,0
2019-11-25 16:56:54.000,1,1,0
2019-11-25 16:57:04.500,0,1,0
2019-11-25 16:53:54.240,0,0,0
2019-11-25 16:55:07.240,1,1,0
2019-11-25 16:59:58.740,0,1,0
2019-11-25 16:49:48.740,1,1,0
2019-11-25 17:00:18.740,1,1,0
2019-11-25 16:47:18.740,1,1,0
2019-11-25 16:56:41.500,0,1,0
2019-11-25 16:57:40.240,0,1,0
2019-11-25 16:50:13.240,1,1,0
2019-11-25 16:49:47.240,1,1,0
2019-11-25 16:52:29.740,1,1,0
2019-11-25 16:53:38.240,1,1,0
2019-11-25 16:58:23.000,1,1,0
2019-11-25 16:47:16.500,1,1,0
2019-11-25 16:57:09.740,0,1,0
2019-11-25 16:48:21.000,1,0,0
2019-11-25 16:48:00.500,0,0,0
2019-11-25 16:47:10.500,0,1,0
2019-11-25 16:57:29.000,0,1,0
2019-11-25 16:56:57.740,0,1,0
2019-11-25 16:56:14.740,1,1,0
2019-11-25 16:48:16.240,0,0,0
2019-11-25 16:54:44.240,0,1,0
2019-11-25 16:57:12.240,0,1,0
2019-11-25 16:47:55.240,1,0,0
2019-11-25 16:54:39.240,0,1,0
2019-11-25 16:58:02.240,1,1,0
2019-11-25 16:58:28.500,1,1,0
2019-11-25 16:51:14.740,0,0,0
2019-11-25 16:47:24.240,0,1,0
2019-11-25 16:56:10.000,1,1,0
2019-11-25 16:52:19.740,1,1,0
2019-11-25 16:52:25.240,1,1,0
2019-11-25 16:56:40.500,1,1,0
2019-11-25 16:59:40.740,1,1,0
2019-11-25 16:55:55.000,1,1,0
2019-11-25 16:52:31.740,0,1,0
2019-11-25 16:57:41.500,1,1,0
2019-11-25 16:50:10.240,1,1,0
2019-11-25 17:00:26.240,0,1,0
2019-11-25 16:50:16.740,0,1,0
2019-11-25 16:59:19.740,0,1,0
2019-11-25 16:47:37.240,0,1,0
2019-11-25 16:57:24.500,1,1,0
2019-11-25 16:53:17.740,1,1,0
2019-11-25 16:47:58.000,1,0,0
2019-11-25 16:52:09.740,0,1,0
2019-11-25 16:49:41.500,1,0,0
2019-11-25 16:59:40.500,0,1,0
2019-11-25 17:00:22.000,1,1,0
2019-11-25 16:47:52.500,1,0,0
2019-11-25 16:56:30.240,1,1,0
2019-11-25 16:58:08.500,0,1,0
2019-11-25 16:54:43.000,0,1,0
2019-11-25 16:53:22.240,0,1,0
2019-11-25 16:47:13.500,0,1,0
2019-11-25 16:57:27.740,1,1,0
2019-11-25 16:57:22.500,1,0,0
2019-11-25 16:52:08.740,0,1,0
2019-11-25 17:00:02.500,1,1,0
2019-11-25 16:58:06.240,1,1,0
2019-11-25 16:54:47.000,0,1,0
2019-11-25 16:55:42.500,1,1,0
2019-11-25 16:48:22.740,0,1,0
2019-11-25 16:57:40.740,1,0,0
2019-11-25 16:58:09.740,0,1,0
2019-11-25 16:48:12.000,1,1,0
2019-11-25 16:53:50.740,0,1,0
2019-11-25 16:50:41.740,0,1,0
2019-11-25 16:49:09.240,1,1,0
2019-11-25 16:47:54.240,0,0,0
2019-11-25 16:58:29.000,0,1,0
2019-11-25 16:59:37.000,1,1,0
2019-11-25 16:55:36.000,1,1,0
2019-11-25 16:53:14.240,1,1,0
2019-11-25 16:56:59.000,1,1,0
2019-11-25 16:52:13.000,0,1,0
2019-11-25 16:47:05.240,1,0,0
2019-11-25 16:47:20.240,0,1,0
2019-11-25 16:53:25.000,1,1,0
2019-11-25 16:56:16.740,0,1,0
2019-11-25 16:50:11.240,1,1,0
2019-11-25 16:58:10.740,1,1,0
2019-11-25 16:49:11.500,1,1,0
2019-11-25 16:51:59.740,0,1,0
2019-11-25 16:49:06.000,1,1,0
2019-11-25 16:56:40.740,1,1,0
2019-11-25 16:53:36.000,1,1,0
2019-11-25 16:50:58.740,1,1,0
2019-11-25 16:56:20.240,0,1,0
2019-11-25 16:50:27.240,1,0,0
2019-11-25 16:47:35.000,0,1,0
2019-11-25 16:58:40.240,0,1,0
2019-11-25 16:47:18.000,0,1,0
2019-11-25 16:54:32.240,1,1,0
2019-11-25 16:49:33.240,0,0,0
2019-11-25 16:48:03.740,0,0,0
2019-11-25 16:56:45.500,1,1,0
2019-11-25 16:52:02.000,0,1,0
2019-11-25 16:58:25.240,0,1,0
2019-11-25 16:49:31.500,1,1,0
2019-11-25 16:48:19.740,0,0,0
2019-11-25 16:47:33.000,0,1,0
2019-11-25 16:57:07.740,0,0,0
2019-11-25 16:51:22.000,1,1,0
2019-11-25 16:58:29.740,0,1,0
2019-11-25 16:53:51.240,0,1,0
2019-11-25 16:52:31.000,0,1,0
2019-11-25 16:48:50.000,0,1,0
2019-11-25 16:57:52.740,0,0,0
2019-11-25 16:58:19.740,0,0,0
2019-11-25 16:53:20.240,0,1,0
2019-11-25 16:52:04.500,1,0,0
2019-11-25 16:52:41.740,0,1,0
2019-11-25 16:59:24.740,1,1,0
2019-11-25 16:49:41.000,1,0,0
2019-11-25 16:57:06.500,1,1,0
2019-11-25 16:48:47.500,1,1,0
2019-11-25 16:49:49.500,0,1,0
2019-11-25 16:47:36.240,0,1,0
2019-11-25 16:48:10.000,1,1,0
2019-11-25 16:47:40.500,0,1,0
2019-11-25 16:49:26.740,1,0,0
2019-11-25 16:47:32.240,1,1,0
2019-11-25 16:54:25.000,1,1,0
2019-11-25 16:55:40.500,1,1,0
2019-11-26 16:56:09.240,1,1,0
2019-11-26 16:56:39.500,1,1,0
2019-11-26 16:52:15.740,1,0,0
2019-11-26 16:51:47.000,1,1,0
2019-11-26 16:56:16.240,0,1,0
2019-11-26 16:57:37.240,0,1,0
2019-11-26 16:51:56.740,0,1,0
2019-11-26 16:54:08.740,1,1,0
2019-11-26 16:51:36.740,1,1,0
2019-11-26 16:52:49.000,1,1,0
2019-11-26 16:51:14.740,1,0,0
2019-11-26 16:55:31.240,1,1,0
2019-11-26 16:53:19.240,1,0,0
2019-11-26 16:55:05.240,1,1,0
2019-11-26 16:52:58.500,1,1,0
2019-11-26 16:57:30.000,0,1,0
2019-11-26 16:53:29.240,1,1,0
2019-11-26 16:53:30.000,1,1,0
2019-11-26 16:53:40.740,0,0,0
2019-11-26 16:56:51.740,0,1,0
2019-11-26 16:53:11.740,1,1,0
2019-11-26 16:56:02.500,0,0,0
2019-11-26 16:52:51.000,1,0,0
2019-11-26 16:55:57.500,0,0,0
2019-11-26 16:50:55.000,0,0,0
2019-11-26 16:51:47.240,1,0,0
2019-11-26 16:56:55.500,1,1,0
2019-11-26 16:56:29.000,0,0,0
2019-11-26 16:52:50.240,1,0,0
2019-11-26 16:53:47.000,0,0,0
2019-11-26 16:53:02.740,1,1,0
2019-11-26 16:55:03.500,1,1,0
2019-11-26 16:51:21.000,1,1,0
2019-11-26 16:55:10.240,1,1,0
2019-11-26 16:53:18.000,1,1,0
2019-11-26 16:54:31.740,1,0,0
2019-11-26 16:52:57.500,1,1,0
2019-11-26 16:52:08.240,1,1,0
2019-11-26 16:56:13.500,1,1,0
2019-11-26 16:57:33.240,1,0,0
2019-11-26 16:55:47.740,0,1,0
2019-11-26 16:53:59.240,1,0,0
2019-11-26 16:57:25.000,0,1,0
2019-11-26 16:56:19.000,1,1,0
2019-11-26 16:56:56.500,1,1,0
2019-11-26 16:50:53.000,0,0,0
2019-11-26 16:53:27.240,1,1,0
2019-11-26 16:56:57.500,0,0,0
2019-11-26 16:53:34.240,1,0,0
2019-11-26 16:54:12.000,1,1,0
2019-11-26 16:56:15.000,0,1,0
2019-11-26 16:52:19.740,1,1,0
2019-11-26 16:57:06.000,1,0,0
2019-11-26 16:53:23.740,1,1,0
2019-11-26 16:51:25.240,0,0,0
2019-11-26 16:55:28.500,1,1,0
2019-11-26 16:52:48.740,1,1,0
2019-11-26 16:51:09.240,1,0,0
2019-11-26 16:53:11.240,0,1,0
2019-11-26 16:56:41.000,0,1,0
2019-11-26 16:54:28.240,1,1,0
2019-11-26 16:57:07.740,1,0,0
2019-11-26 16:54:21.740,1,1,0
2019-11-26 16:54:44.240,1,1,0
2020-01-03 16:20:53.000,1,0,0
2020-01-03 16:20:20.500,0,0,0
2020-01-03 16:15:53.740,1,1,0
2020-01-03 16:21:19.240,0,1,0
2020-01-03 16:16:06.740,1,0,0
2020-01-03 16:16:34.000,1,1,0
2020-01-03 16:15:46.500,1,1,0
2020-01-03 16:17:19.240,1,1,0
2020-01-03 16:21:22.740,0,0,0
2020-01-03 16:15:29.500,0,1,0
2020-01-03 16:20:14.000,1,0,0
2020-01-03 16:16:33.240,1,0,0
2020-01-03 16:17:03.000,1,1,0
2020-01-03 16:15:08.500,0,1,0
2020-01-03 16:21:15.240,0,0,0
2020-01-03 16:15:19.000,1,0,0
2020-01-03 16:21:07.500,0,0,0
2020-01-03 16:17:08.740,1,0,0
2020-01-03 16:15:50.240,0,0,0
2020-01-03 16:21:27.240,0,0,0
2020-01-03 16:20:26.500,0,0,0
2020-01-03 16:16:03.500,0,0,0
2020-01-03 16:16:12.500,0,1,0
2020-01-03 16:16:26.000,0,1,0
2020-01-03 16:16:32.000,1,0,0
2020-01-03 16:20:27.740,0,0,0
2020-01-03 16:21:24.740,0,0,0
2020-01-03 16:16:42.500,1,1,0
2020-01-03 16:16:33.500,1,1,0
2020-01-03 16:15:48.500,1,0,0
2020-01-03 16:21:11.740,0,0,0
2020-01-16 12:30:26.500,0,1,0
2020-01-16 12:26:09.500,0,1,0
2020-01-16 12:24:02.000,0,1,0
2020-01-16 12:24:32.000,0,1,0
2020-01-16 12:29:52.000,0,0,0
2020-01-16 12:26:18.500,0,0,0
2020-01-16 12:25:45.740,0,0,0
2020-01-16 12:30:33.000,0,1,0
2020-01-16 12:26:25.000,0,1,0
2020-01-16 12:30:02.000,0,0,0
2020-01-16 12:30:20.740,0,0,0
2020-01-16 12:23:38.000,0,0,0
2020-01-16 12:26:27.240,0,0,0
2020-01-16 12:24:37.000,0,1,0
2020-01-16 12:23:55.240,0,1,0
2020-01-16 12:25:37.740,0,1,0
2020-01-16 12:26:16.000,0,1,0
2020-01-16 12:25:42.500,0,0,0
2020-01-16 12:24:59.240,0,1,0
2020-01-16 12:25:12.500,0,0,0
2020-01-16 12:26:12.000,0,1,0
2020-01-16 12:26:03.500,0,1,0
2020-01-16 12:25:48.240,0,0,0
2020-01-16 12:26:32.000,0,0,0
2020-01-16 12:25:13.500,0,0,0
2020-01-16 12:26:19.240,0,1,0
2020-01-16 12:25:35.240,1,1,0
2020-01-16 12:30:08.000,0,1,0
2020-01-16 12:26:35.000,0,0,0
2020-01-16 12:25:26.240,0,1,0
2020-01-16 12:24:58.740,0,0,0
2020-01-16 12:30:16.000,0,1,0
2020-01-16 12:25:31.740,0,1,0
2020-01-16 12:24:45.000,1,1,0
2019-11-15 16:32:07.000,0,0,1
2019-11-15 16:35:32.500,1,0,1
2019-11-15 16:34:50.000,1,1,1
2019-11-15 16:34:26.740,0,1,1
2019-11-15 16:32:28.000,0,1,1
2019-11-15 16:32:14.740,1,1,1
2019-11-15 16:33:36.740,0,1,1
2019-11-15 16:33:04.740,0,0,1
2019-11-15 16:31:54.000,0,1,1
2019-11-15 16:31:41.500,0,1,1
2019-11-15 16:32:04.000,0,1,1
2019-11-15 16:31:29.500,1,1,1
2019-11-15 16:32:20.240,0,1,1
2019-11-15 16:34:52.240,1,0,1
2019-11-15 16:31:44.500,0,1,1
2019-11-15 16:31:48.740,0,1,1
2019-11-15 16:33:16.240,1,1,1
2019-11-15 16:32:47.240,0,0,1
2019-11-15 16:32:01.740,0,1,1
2019-11-15 16:32:42.740,0,0,1
2019-11-15 16:34:11.000,0,1,1
2019-11-15 16:32:24.240,0,1,1
2019-11-15 16:34:46.240,1,1,1
2019-11-15 16:31:31.240,1,1,1
2019-11-15 16:35:07.240,1,1,1
2019-11-15 16:34:17.000,1,1,1
2019-11-15 16:33:15.000,0,1,1
2019-11-15 16:33:53.000,1,0,1
2019-11-15 16:33:24.000,0,1,1
2019-11-15 16:32:21.740,0,0,1
2019-11-15 16:33:24.500,0,0,1
2019-11-15 16:34:51.240,0,1,1
2019-11-15 16:33:03.740,0,0,1
2019-11-15 16:33:36.240,0,1,1
2019-11-15 16:32:25.000,0,1,1
2019-11-15 16:32:07.500,0,1,1
2019-11-15 16:33:00.000,1,0,1
2019-11-15 16:32:13.240,0,1,1
2019-11-15 16:31:59.500,0,1,1
2019-11-15 16:33:46.740,0,0,1
2019-11-15 16:32:18.240,0,1,1
2019-11-15 16:32:49.740,1,0,1
2019-11-15 16:32:56.740,0,0,1
2019-11-15 16:33:02.240,1,0,1
2019-11-15 16:32:51.240,1,0,1
2019-11-15 16:31:44.240,0,1,1
2019-11-15 16:33:52.000,1,1,1
2019-11-15 16:32:14.000,0,1,1
2019-11-15 16:34:01.240,0,1,1
2019-11-15 16:34:10.000,0,1,1
2019-11-15 16:35:01.500,0,1,1
2019-11-25 16:52:18.240,1,1,1
2019-11-25 16:51:10.240,1,1,1
2019-11-25 16:52:21.000,1,1,1
2019-11-25 16:56:28.740,0,1,1
2019-11-25 16:51:07.240,1,1,1
2019-11-25 16:49:06.500,0,0,1
2019-11-25 16:51:29.740,0,1,1
2019-11-25 16:52:31.740,0,1,1
2019-11-25 16:49:19.740,1,0,1
2019-11-25 16:50:49.000,0,1,1
2019-11-25 16:49:37.740,0,0,1
2019-11-25 16:48:57.500,1,0,1
2019-11-25 16:55:47.240,1,0,1
2019-11-25 16:47:39.240,0,1,1
2019-11-25 16:53:25.240,1,1,1
2019-11-25 16:51:08.240,0,1,1
2019-11-25 16:53:43.500,0,1,1
2019-11-25 16:51:07.000,1,1,1
2019-11-25 16:49:32.240,0,0,1
2019-11-25 16:56:56.500,0,0,1
2019-11-25 16:57:47.000,0,1,1
2019-11-25 16:55:23.740,0,1,1
2019-11-25 16:54:51.000,0,1,1
2019-11-25 16:55:03.740,0,1,1
2019-11-25 16:54:29.000,1,1,1
2019-11-25 16:48:20.740,1,1,1
2019-11-25 16:59:15.000,1,1,1
2019-11-25 16:55:54.740,0,1,1
2019-11-25 16:56:09.500,1,1,1
2019-11-25 16:51:01.740,0,1,1
2019-11-25 16:47:20.500,1,1,1
2019-11-25 16:57:10.740,0,1,1
2019-11-25 16:50:10.500,1,1,1
2019-11-25 16:56:47.240,0,1,1
2019-11-25 17:00:45.000,0,1,1
2019-11-25 16:59:42.500,0,1,1
2019-11-25 16:59:32.740,0,1,1
2019-11-25 16:53:27.740,1,1,1
2019-11-25 16:57:55.240,1,1,1
2019-11-25 16:52:01.240,1,1,1
2019-11-25 16:54:43.000,0,1,1
2019-11-25 16:53:35.240,1,1,1
2019-11-25 17:00:11.000,1,1,1
2019-11-25 16:54:48.500,0,1,1
2019-11-25 16:52:26.740,0,1,1
2019-11-25 16:51:27.500,0,1,1
2019-11-25 16:59:39.240,0,1,1
2019-11-25 16:56:14.740,1,1,1
2019-11-25 16:59:18.740,1,0,1
2019-11-25 17:00:23.000,0,1,1
2019-11-25 17:00:09.740,1,1,1
2019-11-25 16:50:57.740,1,1,1
2019-11-25 16:58:04.500,1,1,1
2019-11-25 17:00:44.000,0,1,1
2019-11-25 16:55:12.500,0,1,1
2019-11-25 16:58:01.000,0,1,1
2019-11-25 16:55:51.500,0,1,1
2019-11-25 16:51:05.000,1,1,1
2019-11-25 16:49:33.500,0,0,1
2019-11-25 16:54:49.240,1,1,1
2019-11-25 16:49:50.240,0,1,1
2019-11-25 16:53:30.000,0,1,1
2019-11-25 16:54:48.000,0,1,1
2019-11-25 16:56:57.500,1,1,1
2019-11-25 16:48:27.500,0,1,1
2019-11-25 16:57:52.740,0,1,1
2019-11-25 16:51:53.000,1,1,1
2019-11-25 16:48:22.740,1,1,1
2019-11-25 16:49:04.500,0,0,1
2019-11-25 16:59:56.740,0,1,1
2019-11-25 16:57:44.240,1,1,1
2019-11-25 16:51:14.500,1,1,1
2019-11-25 16:56:33.500,1,1,1
2019-11-25 16:56:10.240,1,1,1
2019-11-25 16:59:44.000,0,1,1
2019-11-25 16:50:01.500,1,1,1
2019-11-25 16:52:04.000,1,1,1
2019-11-25 16:47:54.740,1,0,1
2019-11-25 16:49:55.740,1,1,1
2019-11-25 16:59:22.740,0,1,1
2019-11-25 16:50:24.240,1,0,1
2019-11-25 16:49:15.740,0,1,1
2019-11-25 16:47:11.500,1,1,1
2019-11-25 16:53:06.000,0,1,1
2019-11-25 16:52:04.240,1,1,1
2019-11-25 16:53:38.240,1,1,1
2019-11-25 16:51:21.740,0,1,1
2019-11-25 16:56:26.000,0,1,1
2019-11-25 17:00:11.500,0,1,1
2019-11-25 16:57:45.500,1,1,1
2019-11-25 16:54:38.500,1,1,1
2019-11-25 16:57:23.740,0,1,1
2019-11-25 16:53:32.740,1,1,1
2019-11-25 16:50:25.240,0,1,1
2019-11-25 16:47:10.500,0,1,1
2019-11-25 16:55:36.500,1,1,1
2019-11-25 16:58:52.740,0,1,1
2019-11-25 16:53:31.000,0,1,1
2019-11-25 16:48:03.000,1,0,1
2019-11-25 16:49:25.000,1,0,1
2019-11-25 16:51:23.000,0,1,1
2019-11-25 16:49:57.000,0,1,1
2019-11-25 16:49:56.000,0,1,1
2019-11-25 16:55:31.240,0,1,1
2019-11-25 16:55:27.500,1,1,1
2019-11-25 16:58:19.740,0,0,1
2019-11-25 16:59:52.740,0,0,1
2019-11-25 16:58:12.240,0,1,1
2019-11-25 16:46:59.500,0,0,1
2019-11-25 16:49:47.240,1,1,1
2019-11-25 17:00:01.500,0,0,1
