time,l,r,iteration
2019-11-15 16:31:26.500,0,1,0
2019-11-15 16:35:07.000,0,1,0
2019-11-15 16:33:30.740,0,1,0
2019-11-15 16:35:34.500,1,0,0
2019-11-15 16:31:42.000,0,1,0
2019-11-15 16:33:56.000,1,1,0
2019-11-15 16:35:37.740,1,0,0
2019-11-15 16:35:05.500,0,1,0
2019-11-15 16:33:26.500,0,1,0
2019-11-15 16:32:44.240,1,0,0
2019-11-15 16:31:50.240,0,1,0
2019-11-15 16:35:01.240,0,1,0
2019-11-15 16:32:08.000,0,1,0
2019-11-15 16:32:09.000,0,1,0
2019-11-15 16:35:01.740,0,1,0
2019-11-15 16:32:18.240,0,1,0
2019-11-15 16:35:08.500,0,1,0
2019-11-15 16:33:01.240,1,0,0
2019-11-15 16:31:21.240,0,1,0
2019-11-15 16:33:01.500,1,0,0
2019-11-15 16:34:44.000,0,1,0
2019-11-15 16:35:02.000,0,1,0
2019-11-15 16:32:14.500,0,1,0
2019-11-15 16:31:34.000,1,1,0
2019-11-25 16:57:01.500,1,1,0
2019-11-25 16:56:39.240,1,1,0
2019-11-25 16:57:37.500,0,1,0
2019-11-25 16:52:08.000,0,0,0
2019-11-25 16:49:04.240,1,0,0
2019-11-25 16:56:26.740,0,1,0
2019-11-25 16:49:55.740,1,1,0
2019-11-25 16:58:19.740,0,1,0
2019-11-25 16:52:09.500,0,1,0
2019-11-25 16:50:13.740,1,1,0
2019-11-25 16:48:46.000,0,1,0
2019-11-25 16:47:08.240,0,1,0
2019-11-25 16:47:43.000,0,1,0
2019-11-25 16:51:30.240,1,1,0
2019-11-25 16:50:15.500,0,1,0
2019-11-25 16:52:41.740,1,1,0
2019-11-25 16:50:57.740,0,1,0
2019-11-25 16:53:49.500,0,0,0
2019-11-25 16:49:08.000,0,0,0
2019-11-25 16:51:53.500,0,1,0
2019-11-25 16:49:32.740,1,0,0
2019-11-25 16:50:14.740,0,1,0
2019-11-25 16:59:52.000,0,1,0
2019-11-25 16:57:06.740,0,1,0
2019-11-25 16:55:37.500,1,1,0
2019-11-25 16:52:20.740,1,1,0
2019-11-25 17:00:08.000,0,1,0
2019-11-25 16:59:25.000,0,0,0
2019-11-25 16:47:54.240,1,0,0
2019-11-25 16:59:16.740,0,1,0
2019-11-25 16:59:59.240,0,1,0
2019-11-25 16:55:52.240,0,1,0
2019-11-25 16:59:30.240,0,1,0
2019-11-25 16:49:24.740,1,0,0
2019-11-25 16:57:18.240,0,1,0
2019-11-25 16:50:37.740,1,1,0
2019-11-25 16:54:32.000,0,1,0
2019-11-25 16:54:28.000,1,1,0
2019-11-25 16:51:20.500,1,1,0
2019-11-25 17:00:28.240,0,1,0
2019-11-25 16:47:31.740,0,1,0
2019-11-25 16:58:03.240,0,1,0
2019-11-25 16:48:06.500,1,0,0
2019-11-25 16:57:58.240,0,1,0
2019-11-25 16:50:59.500,1,1,0
2019-11-25 16:57:50.740,0,1,0
2019-11-25 16:51:59.240,0,1,0
2019-11-25 16:49:15.000,0,1,0
2019-11-25 16:56:45.000,1,1,0
2019-11-25 16:53:46.000,0,0,0
2019-11-25 16:55:14.240,0,1,0
2019-11-25 16:48:01.740,1,0,0
2019-11-25 16:47:26.500,0,1,0
2019-11-25 16:56:57.000,0,1,0
2019-11-25 16:56:19.000,0,1,0
2019-11-25 16:51:09.240,1,1,0
2019-11-25 16:58:45.000,0,1,0
2019-11-25 16:47:46.240,1,0,0
2019-11-25 16:56:01.740,0,1,0
2019-11-25 16:54:24.000,0,1,0
2019-11-25 16:59:49.740,0,1,0
2019-11-25 16:53:41.000,1,1,0
2019-11-25 16:47:14.740,0,1,0
2019-11-25 16:55:54.740,0,1,0
2019-11-25 16:56:59.500,1,1,0
2019-11-25 16:52:04.740,0,1,0
2019-11-25 16:56:54.740,0,1,0
2019-11-25 16:54:01.740,0,0,0
2019-11-25 16:55:16.000,1,1,0
2019-11-25 16:54:01.240,0,0,0
2019-11-25 16:49:38.000,0,0,0
2019-11-25 16:52:40.240,1,1,0
2019-11-25 16:52:35.000,1,1,0
2019-11-25 17:00:28.740,0,1,0
2019-11-25 16:48:46.500,0,1,0
2019-11-25 16:54:43.000,0,1,0
2019-11-25 16:59:55.000,0,1,0
2019-11-25 16:57:41.240,1,1,0
2019-11-25 16:59:57.740,0,1,0
2019-11-25 16:56:32.000,0,1,0
2019-11-25 16:58:40.240,0,1,0
2019-11-25 16:51:25.740,0,1,0
2019-11-25 16:50:22.240,0,1,0
2019-11-25 16:51:01.500,1,1,0
2019-11-25 16:48:26.740,0,1,0
2019-11-25 16:59:15.740,0,1,0
2019-11-25 16:55:51.240,0,1,0
2019-11-25 16:51:35.240,1,0,0
2019-11-25 16:50:34.240,0,0,0
2019-11-25 16:47:49.000,1,0,0
2019-11-25 16:51:28.000,0,1,0
2019-11-25 16:47:15.000,0,1,0
2019-11-25 16:59:29.000,0,1,0
2019-11-25 16:51:27.740,0,1,0
2019-11-25 16:59:58.740,0,1,0
2019-11-25 16:54:00.000,0,0,0
2019-11-25 16:56:09.500,0,1,0
2019-11-25 16:53:37.000,1,1,0
2019-11-25 16:56:58.500,1,1,0
2019-11-25 16:51:51.000,0,1,0
2019-11-25 17:00:51.500,0,1,0
2019-11-25 16:55:19.000,0,1,0
2019-11-25 16:54:18.740,1,1,0
2019-11-25 16:49:52.500,1,1,0
2019-11-25 17:00:27.240,0,1,0
2019-11-25 16:56:08.500,1,1,0
2019-11-25 16:54:26.500,1,1,0
2019-11-25 16:57:39.740,0,1,0
2019-11-25 16:55:08.000,1,1,0
2019-11-25 16:53:44.740,0,0,0
2019-11-25 16:49:38.240,0,0,0
2019-11-25 16:57:50.240,0,1,0
2019-11-25 16:50:07.240,0,1,0
2019-11-25 16:54:35.740,0,1,0
2019-11-25 16:58:34.500,0,1,0
2019-11-25 16:56:04.500,0,1,0
2019-11-25 16:51:46.240,0,1,0
2019-11-25 16:54:15.240,0,1,0
2019-11-25 16:53:30.740,1,1,0
2019-11-25 17:00:18.740,0,1,0
2019-11-25 16:51:23.740,0,1,0
2019-11-25 16:47:14.240,0,1,0
2019-11-25 16:56:13.500,0,1,0
2019-11-25 16:54:00.240,0,0,0
2019-11-25 16:50:58.240,0,1,0
2019-11-26 16:53:49.240,0,0,0
2019-11-26 16:54:46.000,1,1,0
2019-11-26 16:55:55.500,0,0,0
