time,l,r,iteration
2019-11-15 16:34:46.000,0,1,0
2019-11-15 16:34:18.000,1,0,0
2019-11-15 16:33:15.500,0,1,0
2019-11-15 16:31:42.740,0,1,0
2019-11-15 16:34:58.500,0,1,0
2019-11-15 16:31:38.500,1,1,0
2019-11-15 16:31:27.240,0,1,0
2019-11-15 16:33:48.500,1,1,0
2019-11-15 16:31:17.240,0,0,0
2019-11-15 16:35:47.500,0,1,0
2019-11-15 16:34:10.240,0,1,0
2019-11-15 16:31:54.740,0,1,0
2019-11-15 16:33:04.740,0,0,0
2019-11-15 16:33:44.740,0,1,0
2019-11-15 16:31:51.000,1,1,0
2019-11-15 16:33:34.240,0,1,0
2019-11-15 16:35:44.500,0,1,0
2019-11-15 16:32:51.000,1,0,0
2019-11-15 16:32:09.740,0,1,0
2019-11-15 16:35:40.240,1,0,0
2019-11-15 16:32:26.500,0,1,0
2019-11-15 16:33:52.500,1,1,0
2019-11-15 16:34:52.240,1,1,0
2019-11-15 16:33:52.000,1,1,0
2019-11-15 16:33:38.500,0,1,0
2019-11-15 16:33:23.500,0,1,0
2019-11-15 16:32:36.500,0,1,0
2019-11-15 16:32:23.000,1,1,0
2019-11-15 16:35:08.240,1,1,0
2019-11-15 16:33:36.240,0,1,0
2019-11-15 16:32:59.000,1,0,0
2019-11-15 16:31:36.240,1,1,0
2019-11-15 16:32:34.740,0,1,0
2019-11-15 16:35:02.740,0,1,0
2019-11-25 16:56:58.740,1,1,0
2019-11-25 16:59:47.500,0,1,0
2019-11-25 16:50:35.500,1,0,0
2019-11-25 16:50:35.740,1,1,0
2019-11-25 16:53:11.740,1,1,0
2019-11-25 16:47:01.000,0,0,0
2019-11-25 16:53:24.740,1,1,0
2019-11-25 16:53:15.740,1,1,0
2019-11-25 17:00:28.740,0,1,0
2019-11-25 16:58:43.740,0,1,0
2019-11-25 16:47:38.740,0,1,0
2019-11-25 16:47:28.000,0,1,0
2019-11-25 16:57:44.240,0,1,0
2019-11-25 16:56:25.740,0,1,0
2019-11-25 16:50:21.240,0,1,0
2019-11-25 16:47:09.000,0,1,0
2019-11-25 16:47:26.000,0,1,0
2019-11-25 16:59:25.000,0,1,0
2019-11-25 16:58:50.740,1,1,0
2019-11-25 16:50:40.740,1,1,0
2019-11-25 16:48:16.500,0,1,0
2019-11-25 16:54:38.500,0,1,0
2019-11-25 16:51:53.500,0,1,0
2019-11-25 16:51:49.000,1,1,0
2019-11-25 17:00:36.500,0,1,0
2019-11-25 16:47:50.240,1,0,0
2019-11-25 16:47:47.000,0,0,0
2019-11-25 16:54:56.240,0,1,0
2019-11-25 16:52:30.500,1,1,0
2019-11-25 16:50:02.740,0,1,0
2019-11-25 16:47:14.740,0,1,0
2019-11-25 16:54:46.240,0,1,0
2019-11-25 17:00:43.240,0,1,0
2019-11-25 16:55:36.500,1,1,0
2019-11-25 16:55:40.500,0,1,0
2019-11-25 16:58:05.500,0,1,0
2019-11-25 16:59:12.240,0,1,0
2019-11-25 16:55:20.240,1,1,0
2019-11-25 16:50:10.500,1,1,0
2019-11-25 16:53:45.500,0,0,0
2019-11-25 16:53:24.500,0,1,0
2019-11-25 16:49:17.240,0,1,0
2019-11-25 16:50:12.500,0,1,0
2019-11-25 16:59:40.240,0,1,0
2019-11-25 16:56:53.000,0,1,0
2019-11-25 16:57:22.740,1,1,0
2019-11-25 16:59:49.740,0,1,0
2019-11-25 16:51:54.740,0,1,0
2019-11-25 16:59:25.500,0,1,0
2019-11-25 16:49:25.240,1,0,0
2019-11-25 16:57:41.740,1,1,0
2019-11-25 16:56:39.740,0,1,0
2019-11-25 16:56:37.500,0,1,0
2019-11-25 16:56:53.500,1,1,0
2019-11-25 16:51:17.240,1,1,0
2019-11-25 16:49:40.240,0,0,0
2019-11-25 16:55:50.740,0,1,0
2019-11-25 16:57:15.240,0,1,0
2019-11-25 16:57:27.500,0,1,0
2019-11-25 16:54:59.240,1,1,0
2019-11-25 16:47:44.240,0,1,0
2019-11-25 16:56:34.240,1,1,0
2019-11-25 16:47:51.000,1,0,0
2019-11-25 16:48:32.000,1,1,0
2019-11-25 16:51:13.500,0,1,0
2019-11-25 16:56:23.240,0,1,0
2019-11-25 16:57:13.740,0,1,0
2019-11-25 16:49:05.240,1,0,0
2019-11-25 16:56:07.000,0,1,0
2019-11-25 16:50:19.500,1,1,0
2019-11-25 17:00:40.500,1,1,0
2019-11-25 16:59:16.740,0,1,0
2019-11-25 16:48:52.740,1,1,0
2019-11-25 16:50:26.000,0,1,0
2019-11-25 16:48:04.500,1,0,0
2019-11-25 16:56:47.740,0,1,0
2019-11-25 16:50:02.500,0,1,0
2019-11-25 16:59:26.240,0,1,0
2019-11-25 16:50:27.500,0,1,0
2019-11-25 17:00:13.240,0,1,0
