time,l,iteration
2019-11-25 16:59:26.500,0,0
2019-11-25 16:53:19.740,1,0
2019-11-25 16:53:30.000,1,0
2019-11-25 16:52:34.740,1,0
2019-11-25 16:47:46.000,1,0
2019-11-25 16:48:57.740,1,0
2019-11-25 16:52:16.740,0,0
2019-11-25 17:00:49.500,0,0
2019-11-25 16:55:36.500,1,0
2019-11-25 17:00:49.240,0,0
2019-11-25 16:59:51.000,0,0
2019-11-25 16:58:41.000,1,0
2019-11-25 16:57:29.000,0,0
2019-11-25 16:56:58.240,1,0
2019-11-25 16:57:10.000,0,0
2019-11-25 17:00:08.740,1,0
2019-11-25 17:00:44.740,0,0
2019-11-25 16:55:10.240,0,0
2019-11-25 16:59:14.500,0,0
2019-11-25 16:53:20.500,1,0
2019-11-25 17:00:31.740,0,0
2019-11-25 16:47:15.240,0,0
2019-11-25 16:56:56.000,0,0
2019-11-25 16:55:53.740,0,0
2019-11-25 16:59:52.740,0,0
2019-11-25 16:57:38.240,0,0
2019-11-25 16:47:34.240,0,0
2019-11-25 16:55:44.000,0,0
2019-11-25 16:58:11.500,0,0
2019-11-25 16:58:33.240,0,0
2019-11-25 16:59:39.000,0,0
2019-11-25 16:59:41.000,0,0
2019-11-25 16:50:01.500,0,0
2019-11-25 16:47:41.240,0,0
2019-11-25 16:50:03.000,0,0
2019-11-25 16:59:41.500,0,0
2019-11-25 16:58:47.240,0,0
2019-11-25 16:59:54.500,0,0
2019-11-25 16:48:27.000,0,0
2019-11-25 16:56:25.240,0,0
2019-11-25 16:57:19.740,0,0
2019-11-25 16:55:22.740,0,0
2019-11-25 16:57:08.740,0,0
2019-11-25 16:59:53.000,0,0
2019-11-25 17:00:01.000,0,0
2019-11-25 16:58:40.240,0,0
2019-11-25 16:54:18.000,0,0
2019-11-25 16:48:34.480,0,0
2019-11-25 16:52:14.000,0,0
2019-11-25 16:58:09.000,1,0
2019-11-25 17:00:27.500,0,0
2019-11-25 16:47:28.240,0,0
2019-11-25 16:54:27.240,0,0
2019-11-25 17:00:47.000,0,0
2019-11-25 16:50:03.240,0,0
2019-11-25 16:48:31.000,0,0
2019-11-25 16:56:53.500,1,0
2019-11-25 16:59:28.500,0,0
2019-11-25 16:56:50.000,0,0
2019-11-25 16:55:31.500,1,0
2019-11-25 16:59:33.000,0,0
2019-11-25 16:56:53.000,0,0
2019-11-25 16:54:39.240,0,0
2019-11-25 16:58:35.500,0,0
2019-11-25 16:55:32.500,1,0
2019-11-25 16:58:34.240,0,0
2019-11-25 16:57:46.240,1,0
2019-11-25 16:56:21.000,0,0
2019-11-25 16:55:50.000,0,0
2019-11-25 17:00:17.500,0,0
2019-11-25 16:47:13.000,0,0
2019-11-25 16:55:08.740,0,0
2019-11-25 16:53:06.740,1,0
2019-11-25 16:58:11.240,0,0
2019-11-25 16:59:39.500,1,0
2019-11-25 16:53:23.000,1,0
2019-11-25 16:52:53.240,0,0
2019-11-25 16:47:44.240,0,0
2019-11-25 16:56:07.240,0,0
2019-11-25 16:57:35.000,0,0
2019-11-25 16:56:08.240,0,0
2019-11-25 16:53:37.740,0,0
2019-11-25 17:00:11.000,0,0
2019-11-25 17:00:01.740,0,0
2019-11-25 16:47:15.740,0,0
2019-11-25 16:48:23.500,1,0
2019-11-25 16:59:25.240,0,0
2019-11-25 17:00:15.240,0,0
2019-11-25 16:54:24.240,0,0
2019-11-25 16:59:20.500,0,0
2019-11-25 16:55:01.500,0,0
2019-11-25 16:58:10.000,0,0
2019-11-25 16:57:40.740,0,0
2019-11-25 16:58:43.500,0,0
2019-11-25 16:58:13.740,0,0
2019-11-25 16:54:48.500,0,0
2019-11-25 16:56:57.500,0,0
2019-11-25 16:59:42.000,1,0
2019-11-25 16:49:09.240,0,0
2019-11-25 16:54:58.000,1,0
2019-11-25 16:50:19.500,0,0
2019-11-25 16:53:17.740,0,0
2019-11-25 16:47:29.500,0,0
2019-11-25 16:47:40.000,0,0
2019-11-25 16:47:15.500,0,0
2019-11-25 16:52:29.740,1,0
2019-11-25 16:49:43.500,0,0
2019-11-25 16:54:33.500,1,0
2019-11-25 16:54:30.740,1,0
2019-11-25 17:00:22.000,1,0
2019-11-25 16:49:59.740,0,0
2019-11-25 16:49:50.240,1,0
2019-11-25 16:59:46.240,1,0
2019-11-25 16:47:45.500,1,0
2019-11-25 16:53:20.740,1,0
2019-11-25 16:49:57.500,0,0
2019-11-25 16:56:50.240,0,0
2019-11-25 16:57:47.000,0,0
2019-11-25 16:57:33.500,0,0
2019-11-25 16:53:14.000,1,0
2019-11-25 16:49:53.740,1,0
2019-11-25 16:58:04.500,0,0
2019-11-25 16:59:43.740,0,0
2019-11-25 16:56:08.000,0,0
2019-11-25 16:58:43.000,0,0
2019-11-25 16:49:52.500,1,0
2019-11-25 16:54:29.500,1,0
2019-11-25 16:47:32.000,0,0
2019-11-25 16:56:10.740,0,0
2019-11-25 16:54:21.740,1,0
2019-11-25 16:50:11.240,1,0
2019-11-25 16:59:35.240,0,0
2019-11-25 16:57:21.000,0,0
2019-11-25 16:47:54.500,1,0
2019-11-25 16:58:30.000,0,0
