time,r,iteration
2019-11-15 16:33:50.240,1,0
2019-11-15 16:32:52.000,0,0
2019-11-15 16:34:55.500,1,0
2019-11-15 16:31:28.240,1,0
2019-11-15 16:35:01.240,1,0
2019-11-15 16:32:56.240,0,0
2019-11-15 16:33:20.740,1,0
2019-11-15 16:33:31.500,1,0
2019-11-15 16:32:00.000,1,0
2019-11-15 16:35:52.240,0,0
2019-11-15 16:35:39.180,0,0
2019-11-15 16:36:01.740,0,0
2019-11-15 16:32:53.740,0,0
2019-11-15 16:33:47.000,1,0
2019-11-15 16:33:44.000,1,0
2019-11-15 16:32:43.000,0,0
2019-11-15 16:32:18.000,1,0
2019-11-15 16:33:32.500,1,0
2019-11-15 16:34:11.740,1,0
2019-11-15 16:32:09.240,1,0
2019-11-15 16:33:30.240,1,0
2019-11-15 16:34:17.500,0,0
2019-11-15 16:31:33.740,1,0
2019-11-15 16:33:45.500,1,0
2019-11-15 16:35:57.240,0,0
2019-11-15 16:33:35.740,1,0
2019-11-15 16:32:59.740,0,0
2019-11-15 16:31:26.500,1,0
2019-11-15 16:34:59.500,1,0
2019-11-15 16:33:42.000,1,0
2019-11-15 16:32:58.500,0,0
2019-11-15 16:34:26.000,0,0
2019-11-15 16:32:07.240,1,0
2019-11-15 16:35:30.500,0,0
2019-11-15 16:31:37.500,1,0
2019-11-15 16:32:57.740,0,0
2019-11-15 16:32:16.500,1,0
2019-11-15 16:32:30.740,1,0
2019-11-15 16:35:03.500,1,0
2019-11-15 16:32:59.240,0,0
2019-11-15 16:33:26.240,1,0
2019-11-15 16:31:32.500,1,0
2019-11-15 16:32:12.000,1,0
2019-11-15 16:33:49.500,1,0
2019-11-15 16:35:33.000,0,0
2019-11-15 16:34:16.000,0,0
2019-11-15 16:31:35.240,1,0
2019-11-15 16:32:35.000,1,0
2019-11-15 16:33:46.240,1,0
2019-11-15 16:34:18.240,0,0
2019-11-15 16:34:28.000,0,0
2019-11-15 16:32:14.500,1,0
2019-11-15 16:32:18.240,1,0
2019-11-15 16:32:32.500,1,0
2019-11-15 16:33:36.500,1,0
2019-11-15 16:34:25.240,0,0
2019-11-15 16:32:31.740,1,0
2019-11-15 16:35:32.000,0,0
2019-11-15 16:33:28.000,1,0
2019-11-15 16:31:53.740,1,0
2019-11-15 16:31:29.000,1,0
2019-11-15 16:32:54.740,0,0
2019-11-15 16:31:36.240,1,0
2019-11-15 16:33:37.240,1,0
2019-11-15 16:34:10.240,1,0
2019-11-15 16:32:22.000,1,0
2019-11-15 16:31:47.740,1,0
2019-11-15 16:34:12.240,1,0
2019-11-15 16:34:19.000,0,0
2019-11-15 16:34:28.100,0,0
2019-11-15 16:34:22.500,0,0
2019-11-15 16:35:33.500,0,0
2019-11-15 16:32:05.740,1,0
2019-11-15 16:33:54.240,1,0
2019-11-15 16:34:08.500,1,0
2019-11-15 16:35:54.740,0,0
2019-11-15 16:32:11.500,1,0
2019-11-15 16:35:56.740,0,0
2019-11-15 16:33:22.240,1,0
2019-11-15 16:34:12.500,1,0
2019-11-15 16:35:53.000,0,0
2019-11-15 16:35:55.740,0,0
