time,l,r,iteration
2019-11-15 16:35:07.000,0,1,0
2019-11-15 16:31:18.500,0,1,0
2019-11-15 16:31:42.240,0,1,0
2019-11-15 16:33:20.740,0,1,0
2019-11-15 16:34:14.000,0,1,0
2019-11-15 16:33:00.000,1,0,0
2019-11-15 16:33:45.740,0,1,0
2019-11-15 16:31:50.500,0,1,0
2019-11-15 16:34:28.500,0,1,0
2019-11-15 16:34:30.000,0,1,0
2019-11-15 16:32:03.500,0,1,0
2019-11-15 16:32:52.000,1,0,0
2019-11-15 16:31:34.500,1,1,0
2019-11-15 16:32:12.240,0,1,0
2019-11-15 16:31:29.500,0,1,0
2019-11-15 16:32:04.000,0,1,0
2019-11-15 16:32:06.000,0,1,0
2019-11-15 16:35:47.240,0,1,0
2019-11-15 16:35:04.240,0,1,0
2019-11-15 16:31:47.000,1,1,0
2019-11-15 16:33:51.500,0,1,0
2019-11-15 16:31:32.500,0,1,0
2019-11-15 16:32:03.000,0,1,0
2019-11-15 16:33:23.500,0,1,0
2019-11-15 16:31:30.000,0,1,0
2019-11-15 16:31:23.500,0,1,0
2019-11-15 16:34:07.000,0,0,0
2019-11-15 16:31:21.740,0,0,0
2019-11-15 16:34:22.500,1,1,0
2019-11-15 16:31:51.740,0,1,0
2019-11-15 16:33:38.240,0,1,0
2019-11-15 16:35:00.240,0,1,0
2019-11-15 16:31:25.000,0,1,0
2019-11-15 16:31:34.000,1,1,0
2019-11-15 16:33:37.500,0,1,0
2019-11-15 16:33:02.740,0,0,0
2019-11-15 16:34:57.740,1,1,0
2019-11-15 16:31:41.500,0,1,0
2019-11-15 16:32:38.740,0,1,0
2019-11-25 16:58:39.500,1,1,0
2019-11-25 16:58:47.500,0,1,0
2019-11-25 16:48:02.740,1,0,0
2019-11-25 16:47:16.000,1,1,0
2019-11-25 16:56:55.500,1,1,0
2019-11-25 16:49:01.740,1,0,0
2019-11-25 16:54:30.500,1,1,0
2019-11-25 16:50:41.740,1,1,0
2019-11-25 16:48:06.240,1,0,0
2019-11-25 16:47:39.000,0,1,0
2019-11-25 16:54:46.740,0,1,0
2019-11-25 16:55:49.740,0,1,0
2019-11-25 16:53:43.000,1,1,0
2019-11-25 16:56:24.740,0,1,0
2019-11-25 16:53:38.740,1,1,0
2019-11-25 17:00:04.500,1,1,0
2019-11-25 17:00:18.240,0,1,0
2019-11-25 16:48:18.740,1,1,0
2019-11-25 16:56:04.740,1,1,0
2019-11-25 16:56:42.240,1,1,0
2019-11-25 16:49:45.740,1,1,0
2019-11-25 16:59:53.500,0,0,0
2019-11-25 16:56:40.000,0,1,0
2019-11-25 16:59:37.500,1,1,0
2019-11-25 16:56:47.500,1,1,0
2019-11-25 16:47:23.000,1,1,0
2019-11-25 16:53:27.500,1,1,0
2019-11-25 16:52:29.240,1,1,0
2019-11-25 16:47:00.500,1,0,0
2019-11-25 16:53:54.240,0,0,0
2019-11-25 16:54:03.240,0,0,0
2019-11-25 16:50:25.000,0,1,0
