,true positive,false positive,false negative,true negative,accuracy,gwets ac1 score,sensitivity,specificity,precision,f1 score,balanced accuracy,subject,method,iteration,youden
0,0.7025641025641025,0.23846153846153847,0.04871794871794872,0.010256410256410256,0.7128205128205127,0.6117333333333332,0.9351535836177474,0.041237113402061855,0.7465940054495912,0.8303030303030302,0.4881953485099046,1,Activity Counts,,-0.023609302980190816
0,0.7278350515463917,0.20824742268041238,0.02268041237113402,0.041237113402061855,0.7690721649484535,0.6861149794576352,0.9697802197802198,0.1652892561983471,0.777533039647577,0.863080684596577,0.5675347379892834,2,Activity Counts,,0.1350694759785669
0,0.7554112554112554,0.16233766233766234,0.04329004329004329,0.03896103896103896,0.7943722943722944,0.728239500936518,0.94579945799458,0.1935483870967742,0.8231132075471698,0.880201765447667,0.5696739225456771,3,Activity Counts,,0.13934784509135412
0,0.7211981566820277,0.1935483870967742,0.04608294930875576,0.03917050691244239,0.7603686635944701,0.6728943516008872,0.93993993993994,0.1683168316831683,0.7884130982367759,0.8575342465753425,0.5541283858115541,4,Activity Counts,,0.1082567716231082
0,0.7747524752475248,0.19306930693069307,0.027227722772277228,0.0049504950495049506,0.7797029702970297,0.7233483497924498,0.9660493827160493,0.024999999999999998,0.8005115089514067,0.8755244755244754,0.4955246913580247,5,Activity Counts,,-0.008950617283950635
0,0.6219281663516069,0.27032136105860116,0.05671077504725898,0.05103969754253308,0.67296786389414,0.5067067336845936,0.9164345403899722,0.1588235294117647,0.6970338983050848,0.7918170878459688,0.5376290349008684,6,Activity Counts,,0.07525806980173688
0,0.7695473251028807,0.1831275720164609,0.024691358024691357,0.02263374485596708,0.7921810699588477,0.7332028861440627,0.9689119170984456,0.11,0.8077753779697624,0.8810365135453474,0.5394559585492228,7,Activity Counts,,0.07891191709844558
0,0.7216117216117216,0.21611721611721613,0.038461538461538464,0.023809523809523808,0.7454212454212454,0.6575775418079439,0.9493975903614458,0.09923664122137403,0.76953125,0.8500539374325782,0.5243171157914099,8,Activity Counts,,0.048634231582819876
0,0.5241286863270778,0.11528150134048257,0.03485254691689008,0.3257372654155496,0.8498659517426274,0.7111026589675322,0.9376498800959232,0.7386018237082067,0.819706498951782,0.8747203579418343,0.8381258519020649,9,Activity Counts,,0.6762517038041298
0,0.670995670995671,0.24675324675324675,0.045454545454545456,0.0367965367965368,0.7077922077922079,0.5832177832425083,0.9365558912386708,0.12977099236641224,0.7311320754716981,0.8211920529801325,0.5331634418025415,10,Activity Counts,,0.06632688360508299
0,0.7051282051282052,0.24102564102564103,0.046153846153846156,0.007692307692307693,0.7128205128205128,0.6135949470108456,0.938566552901024,0.030927835051546393,0.7452574525745257,0.8308157099697885,0.4847471939762852,1,Vector Magnitude,,-0.03050561204742963
0,0.7278350515463917,0.21030927835051547,0.02268041237113402,0.03917525773195876,0.7670103092783505,0.6839215527955683,0.9697802197802198,0.15702479338842976,0.7758241758241758,0.862026862026862,0.5634025065843248,2,Vector Magnitude,,0.12680501316864956
0,0.7619047619047619,0.16883116883116883,0.0367965367965368,0.032467532467532464,0.7943722943722943,0.7315703045444675,0.9539295392953929,0.16129032258064513,0.8186046511627907,0.8811013767209009,0.557609930938019,3,Vector Magnitude,,0.11521986187603805
0,0.7327188940092166,0.195852534562212,0.03456221198156682,0.03686635944700461,0.7695852534562212,0.6895120904278154,0.954954954954955,0.1584158415841584,0.7890818858560794,0.8641304347826085,0.5566853982695567,4,Vector Magnitude,,0.1133707965391133
0,0.7772277227722773,0.18564356435643564,0.024752475247524754,0.012376237623762377,0.7896039603960396,0.7345156689099603,0.9691358024691358,0.0625,0.8071979434447302,0.8807854137447406,0.5158179012345678,5,Vector Magnitude,,0.031635802469135665
0,0.6086956521739131,0.29111531190926276,0.06994328922495274,0.030245746691871456,0.6389413988657845,0.4589278590113984,0.8969359331476323,0.09411764705882353,0.6764705882352942,0.7712574850299402,0.4955267901032279,6,Vector Magnitude,,-0.008946419793544158
0,0.7736625514403292,0.19135802469135801,0.0205761316872428,0.01440329218106996,0.7880658436213992,0.7311289971720688,0.9740932642487047,0.07,0.8017057569296375,0.87953216374269,0.5220466321243523,7,Vector Magnitude,,0.04409326424870463
0,0.717948717948718,0.21794871794871795,0.04212454212454213,0.02197802197802198,0.73992673992674,0.6495855517088649,0.9445783132530121,0.0916030534351145,0.7671232876712328,0.8466522678185745,0.5180906833440633,8,Vector Magnitude,,0.03618136668812655
0,0.5241286863270778,0.12064343163538874,0.03485254691689008,0.3203753351206434,0.8445040214477212,0.7014043683792829,0.9376498800959232,0.7264437689969605,0.8128898128898129,0.8708240534521157,0.8320468245464419,9,Vector Magnitude,,0.6640936490928837
0,0.6846652267818575,0.2591792656587473,0.03023758099352052,0.02591792656587473,0.7105831533477323,0.5963356474101643,0.9577039274924471,0.0909090909090909,0.7254004576659039,0.8255208333333334,0.524306509200769,10,Vector Magnitude,,0.04861301840153809
0,0.13953488372093023,0.040051679586563305,0.6162790697674418,0.2041343669250646,0.34366925064599485,-0.30720640451081815,0.1846153846153846,0.8359788359788359,0.7769784172661871,0.29834254143646405,0.5102971102971102,1,GM Score,,0.020594220594220447
0,0.21784232365145229,0.04149377593360996,0.5487551867219918,0.19190871369294607,0.40975103734439833,-0.1797045125338605,0.2841677943166441,0.8222222222222223,0.84,0.4246713852376137,0.5531950082694332,2,GM Score,,0.10639001653886648
0,0.28325688073394495,0.02522935779816514,0.5206422018348624,0.17087155963302753,0.4541284403669725,-0.07812589287105771,0.35235378031383735,0.871345029239766,0.9182156133828996,0.5092783505154639,0.6118494047768017,3,GM Score,,0.22369880955360344
0,0.18118466898954705,0.022067363530778164,0.5888501742160279,0.20789779326364694,0.389082462253194,-0.22096380669946772,0.2352941176470588,0.9040404040404041,0.8914285714285715,0.37231503579952263,0.5696672608437314,4,GM Score,,0.13933452168746285
0,0.236318407960199,0.028606965174129355,0.5708955223880597,0.16417910447761194,0.40049751243781095,-0.1927975622518391,0.29275808936825887,0.8516129032258064,0.8920187793427231,0.44083526682134566,0.5721854962970326,5,GM Score,,0.14437099259406527
